,speaker,sentence,gold,cluster tokens,cluster
24,Biden,"Number one, he knows what I proposed.",0,know propose,7
25,Biden,What I proposed is that we expand Obamacare and we increase it.,1,propose expand obamacare increase,3
26,Biden,We do not wipe any.,0,wipe,3
27,Biden,"And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still.",1,big debate colleague try win nomination win say biden want allow people private insurance,8
30,Biden,They will under my proposal.,0,proposal,3
31,Biden,That is simply a lie.,0,simply lie,3
32,Biden,The party is me.,0,party,0
33,Biden,"Right now, I am the Democratic Party.",0,right democratic party,0
34,Biden,I am the Democratic Party right now.,1,democratic party right,0
35,Biden,"The platform of the Democratic Party is what I, in fact, approved of, what I approved of.",1,platform democratic party fact approve approve,0
36,Biden,"Now, here's the deal.",0,deal,6
37,Biden,The deal is that it's going to wipe out pre-existing conditions.,0,deal go wipe pre existing condition,6
38,Biden,"And, by the way, the 200,000 people that have died on his watch, how many of those have survived?",1,way people die watch survive,1
39,Biden,"Well, there's seven million people that contracted COVID.",1,seven million people contract covid,1
40,Biden,What does it mean for them going forward if you strike down the Affordable Care Act?,1,mean go forward strike affordable care act,0
41,Biden,I'm happy to talk about this.,0,happy talk,8
42,Biden,You're not going to be able to shut him up.,0,go able shut,3
43,Biden,Let me finish.,0,let finish,8
44,Biden,The point is that the President also is opposed to Roe V. Wade.,0,point president oppose roe v wade,3
45,Biden,"That's on the ballot as well and the court, in the court, and so that's also at stake right now.",0,ballot court court stake right,0
46,Biden,And so the election is all-,0,election all,3
47,Biden,It's on the ballot in the court.,0,ballot court,0
48,Biden,In the court.,0,court,0
49,Biden,Donald would you just be quiet for a minute.,0,donald quiet minute,0
50,Biden,All right.,0,right,0
51,Biden,Good healthcare.,0,good healthcare,3
52,Biden,He has not done healthcare.,0,healthcare,3
53,Biden,Yes.,0,yes,3
55,Biden,"It's only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid.",1,people poor qualify medicaid free state governor want deny people poor medicaid,1
56,Biden,Anyone who qualifies for Medicaid would automatically be enrolled in the public option.,1,qualify medicaid automatically enrol public option,3
57,Biden,The vast majority of the American people would still not be in that option.,1,vast majority american people option,1
60,Biden,"Look, hey.",0,look,3
61,Biden,I'm not going to listen to him.,0,go listen,3
62,Biden,The fact of the matter is I beat Bernie Sanders.,0,fact matter beat bernie sander,5
63,Biden,I beat him by a whole hell of a lot.,0,beat hell lot,3
64,Biden,"I'm here standing facing you, old buddy.",0,stand face old buddy,0
65,Biden,All he knows how to do-,0,know do,7
66,Biden,Look he's the deal.,0,look deal,6
67,Biden,I got very lucky.,0,get lucky,0
68,Biden,I'm going to get very lucky tonight as well.,0,go lucky tonight,0
69,Biden,And tonight I'm going to make sure.,0,tonight go sure,5
70,Biden,"Because here's the deal, here's the deal.",0,deal deal,6
71,Biden,The fact is that everything he's saying so far is simply a lie.,0,fact say far simply lie,5
72,Biden,I'm not here to call out his lies.,0,lie,3
73,Biden,Everybody knows he's a liar.,0,everybody know liar,7
74,Biden,"God, I want to make sure-",0,god want sure,8
75,Biden,"No, he doesn't know how to do that.",0,know,7
76,Biden,"The wrong guy, the wrong night, at the wrong time.",0,wrong guy wrong night wrong time,3
77,Biden,"There is no manifesto, number one.",0,manifesto,3
78,Biden,"I'll tell you what, he is not for any help for people needing healthcare.",0,tell help people need healthcare,1
79,Biden,"Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession.",0,fact cost million people healthcare employer recession,1
81,Biden,"Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away.",1,million people get healthcare obamacare want away,8
82,Biden,He won't ever look you in the eye and say that's what he wants to do.,0,look eye want,8
83,Biden,Take it away.,0,away,3
84,Biden,He doesn't know how.,0,know,7
85,Biden,He doesn't know how to do that.,0,know,7
86,Biden,He has never offered a plan.,0,offer plan,9
87,Biden,He has no plan for healthcare.,0,plan healthcare,9
88,Biden,He sends out wishful thinking.,0,send wishful thinking,3
89,Biden,He has Executive Orders that have no power.,0,executive order power,0
90,Biden,He hasn't lowered drug costs for anybody.,0,lower drug cost anybody,0
91,Biden,He's been promising a healthcare plan since he got elected.,0,promise healthcare plan get elect,9
92,Biden,"He has none, like almost everything else he talks about.",0,talk,8
93,Biden,He does not have a plan.,0,plan,9
94,Biden,He doesn't have a plan.,0,plan,9
95,Biden,And the fact is this man doesn't know what he's talking about.,0,fact man know talk,7
97,Biden,Sure.,0,sure,5
98,Biden,"Whatever position I take on that, that'll become the issue.",0,position issue,0
99,Biden,The issue is the American people should speak.,1,issue american people speak,1
100,Biden,You should go out and vote.,1,vote,2
101,Biden,You're voting now.,0,vote,2
102,Biden,Vote and let your Senators know strongly how you feel.,1,vote let senator know strongly feel,2
103,Biden,Vote now.,0,vote,2
104,Biden,"Make sure you, in fact, let people know, your Senators.",0,sure fact let people know senator,5
105,Biden,I'm not going to answer the question.,0,go answer question,0
106,Biden,"Will you shut up, man?",0,shut man,3
107,Biden,This is so un-Presidential.,0,un presidential,3
108,Biden,"That was really a productive segment, wasn't it?",0,productive segment,0
109,Biden,"Keep yapping, man.",0,yap man,3
110,Biden,They sure do.,0,sure,5
111,Biden,Good luck.,0,good luck,3
112,Biden,"200,000 dead.",0,dead,3
113,Biden,"As you said, over seven million infected in the United States.",0,say seven million infect united states,5
114,Biden,"We, in fact, have 4% of the world's population, 20% of the deaths.",1,fact world population death,5
115,Biden,"40,000 people a day are contracting COVID.",1,people day contract covid,1
116,Biden,"In addition to that, about between 750 and 1000 people a day are dying.",1,addition people day die,1
117,Biden,"When he was presented with that number, he said, It is what it is.",0,present say,5
120,Biden,The President has no plan.,0,president plan,9
121,Biden,He hasn't laid out anything.,0,lay,3
122,Biden,He knew all the way back in February how serious this crisis was.,0,know way february crisis,7
123,Biden,He knew it was a deadly disease.,0,know deadly disease,7
125,Biden,He's on tape as acknowledging he knew it.,0,tape acknowledge know,7
126,Biden,He said he didn't tell us or give people a warning of it because he didn't want to panic the American people.,0,say tell people warning want panic american people,1
127,Biden,You don't panic.,0,panic,3
128,Biden,He panicked.,0,panic,3
129,Biden,"In addition to that, what did he do?",0,addition,3
130,Biden,He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was.,0,go insist people ground china able wuhan determine dangerous,3
131,Biden,He did not even ask Xi to do that.,0,ask xi,0
132,Biden,He told us what a great job Xi was doing.,0,tell great job xi,3
133,Biden,He said we owe him debt of gratitude for being so transparent with us.,0,say owe debt gratitude transparent,5
136,Biden,He waited and waited and waited.,0,wait wait wait,0
137,Biden,He still doesn't have a plan.,0,plan,9
138,Biden,"I laid out back in March, exactly what we should be doing.",1,lay march exactly,3
139,Biden,"And I laid out again in July, what we should be doing.",1,lay july,3
140,Biden,We should be providing all the protective gear possible.,1,provide protective gear possible,3
141,Biden,We should be providing the money the House has passed in order to be able to go out and get people the help they need to keep their businesses open.,1,provide money house pass order able people help need business open,1
142,Biden,Open schools cost a lot of money.,1,open school cost lot money,3
143,Biden,You should get out of your bunker and get out of the sand trap in your golf course and go in the Oval Office and bring together the Democrats and Republicans and fund what needs to be done now to save lives.,0,bunker sand trap golf course oval office bring democrats republicans fund need save life,0
144,Biden,I know how to do the job.,0,know job,7
145,Biden,I know how to get the job done.,0,know job,7
146,Biden,"14,000 people died, not 200,000.",0,people die,1
147,Biden,And there was no one ... We didn't shut down the economy.,0,shut economy,3
148,Biden,This is his economy he shut down.,0,economy shut,3
149,Biden,"The reason it's shut down is because, look, you folks at home.",0,reason shut look folk home,3
150,Biden,How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID?,0,get morning chair kitchen table die covid,3
151,Biden,"How many of you are in a situation where you lost your mom or dad and you couldn't even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?",0,situation lose mom dad speak nurse hold phone fact goodbye,5
152,Biden,"His own CDC Director says we could lose as many as another 200,000 people between now and the end of the year.",0,cdc director say lose people end year,5
153,Biden,"And he said, if we just wear a mask, we can save half those numbers.",0,say wear mask save half,5
154,Biden,Just a mask.,0,mask,3
155,Biden,"And by the way, in terms of the whole notion of a vaccine, we're for a vaccine, but I don't trust him at all.",1,way term notion vaccine vaccine trust,5
157,Biden,I know you don't.,0,know,7
158,Biden,What we trust is a scientist.,1,trust scientist,0
159,Biden,God.,0,god,0
160,Biden,This is the same man who told you-,0,man tell you,3
161,Biden,"... by Easter, this would be gone away.",0,easter go away,0
162,Biden,"By the warm weather, it'd be gone.",0,warm weather go,0
163,Biden,"Miraculous, like a miracle.",0,miraculous miracle,0
164,Biden,"And by the way, maybe you could inject some bleach in your arm, and that would take care of it.",0,way maybe inject bleach arm care,5
165,Biden,This is the same man.,0,man,3
166,Biden,So here's the deal.,0,deal,6
167,Biden,This man is talking about a vaccine.,0,man talk vaccine,8
168,Biden,"Every serious company is talking about maybe having a vaccine done by the end of the year, but the distribution of that vaccine will not occur until sometime beginning of the middle of next year to get it out, if we get the vaccine.",1,company talk maybe have vaccine end year distribution vaccine occur beginning middle year vaccine,8
169,Biden,And pray God we will.,0,pray god,0
170,Biden,Pray God we will.,0,pray god,0
171,Biden,No more than the question you just asked him.,0,question ask,0
172,Biden,You pointed out he puts pressure and disagrees with his own scientists.,0,point put pressure disagree scientist,0
173,Biden,Everybody knows-,0,everybody knows,3
175,Biden,You can trust the scientist.,0,trust scientist,0
177,Biden,You can trust the-,0,trust the,0
178,Biden,Yes.,0,yes,3
179,Biden,"Well, that's what he's going to try to do, but there's thousands of scientists out there, like here at this great hospital that don't work for him.",0,go try thousand scientist great hospital work,3
180,Biden,Their job doesn't depend on him.,0,job depend,3
181,Biden,They're the people... And by the way-,0,people way,5
182,Biden,By the way-,0,way,5
183,Biden,Do you believe for a moment what he's telling you in light of all the lies he's told you about the whole issue relating to COVID?,0,believe moment tell light lie tell issue relate covid,3
184,Biden,"He still hasn't even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn't even tell you.",0,acknowledge know happen know dangerous go february tell,7
185,Biden,He's on record as saying it.,0,record say,5
186,Biden,He panicked or he just looked at the stock market.,0,panic look stock market,3
188,Biden,Because guess what?,0,guess,3
189,Biden,"A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-",1,lot people die lot go die get lot smarter lot quicker,1
190,Biden,"Oh, give me a break.",0,break,3
191,Biden,"Well, let's have this debate-",0,let debate,8
192,Biden,Because he doesn't have a plan.,0,plan,9
193,Biden,"If I were running it, I'd know what the plan is.",1,run know plan,9
194,Biden,"You've got to provide these businesses the ability to have the money to be able to reopen with the PPE, as well as with the sanitation they need.",1,get provide business ability money able reopen ppe sanitation need,3
195,Biden,You have to provide them classic-,0,provide classic,3
196,Biden,Will he just shush for a minute?,0,shush minute,3
197,Biden,"Nancy Pelosi and Schumer, they have a plan.",0,nancy pelosi schumer plan,9
198,Biden,He won't even meet with them.,0,meet,3
199,Biden,The Republicans won't meet in the Senate.,0,republicans meet senate,3
200,Biden,He sits in his golf course.,0,sit golf course,3
201,Biden,"Well, I mean, literally, think about it.",0,mean literally think,3
202,Biden,Think about it.,0,think,3
203,Biden,You just admitted you'd shut it down.,0,admit shut,3
204,Biden,I got to respond to that.,0,get respond,3
205,Biden,I got to respond to that.,0,get respond,3
206,Biden,Just like your rally.,0,rally,3
207,Biden,"Look, the way to open businesses is give them the wherewithal to be able open.",1,look way open business wherewithal able open,3
208,Biden,"We provided money, the-",0,provide money the,3
209,Biden,"Well, masks make a big difference.",1,mask big difference,3
210,Biden,"His own head of the CDC said if we just wore masks between now, if everybody wore a mask and social distanced between now and January, we'd probably save up to 100,000 lives.",1,head cdc say wear mask everybody wear mask social distance january probably save life,3
211,Biden,It matters.,0,matter,3
212,Biden,It matters.,0,matter,3
213,Biden,No serious person has said the opposite.,0,person say opposite,5
214,Biden,No serious person.,0,person,3
215,Biden,He did not say the opposite.,0,opposite,3
216,Biden,"By the way, did you see one of the last big rallies he had?",0,way big rally,5
217,Biden,"A reporter came up to him to ask him a question, he said, No, no, no.",0,reporter come ask question say,5
218,Biden,"Stand back, put on your mask, put on a mask.",0,stand mask mask,3
219,Biden,Have you been tested?,0,test,3
220,Biden,I'm way far away from those other people.,0,way far away people,5
221,Biden,"That's what he said, I'm going to be okay.",0,say go okay,5
222,Biden,He's not worried about you.,0,worried,3
223,Biden,He's not worried about the people out there  .,0,worried people,1
224,Biden,No negative effect.,0,negative effect,3
225,Biden,Come on.,0,come,3
226,Biden,"Yes, I would.",0,yes,3
227,Biden,"He's been totally irresponsible the way in which he has handled the social distancing and people wearing masks, basically encouraged them not to.",0,totally irresponsible way handle social distancing people wear mask basically encourage,5
228,Biden,He's a fool on this.,0,fool,3
229,Biden,The difference is millionaires and billionaires like him in the middle of the COVID crisis have done very well.,0,difference millionaire billionaire middle covid crisis,3
230,Biden,"Billionaires have made another $300 billion because of his profligate tax proposal, and he only focused on the market.",0,billionaire billion profligate tax proposal focus market,1
231,Biden,"But you folks at home, you folks living in Scranton and Claymont and all the small towns and working class towns in America, how well are you doing?",0,folk home folk live scranton claymont small town working class town america,3
232,Biden,This guy paid a total of $750 in taxes.,0,guy pay total taxis,3
233,Biden,Do I get my time back?,0,time,3
234,Biden,"The fact is that he has in fact, worked on this in a way that he's going to be the first president of the United States to leave office, having fewer jobs in his administration than when he became president.",0,fact fact work way go president united states leave office have few job administration president,5
235,Biden,Fewer jobs than when he became president.,0,few job president,3
236,Biden,First one in American history.,0,american history,1
237,Biden,"Secondly, the people who have lost their jobs are those people who have been on the front lines.",1,secondly people lose job people line,1
238,Biden,"Those people who have been saving our lives, those people who have been out there dying.",1,people save life people die,1
239,Biden,People who've been putting themselves in the way to make sure that we could all try to make it.,1,people put way sure try,5
240,Biden,"And the idea that he is insisting that we go forward and open when you have almost half the states in America with a significant increase in COVID deaths and COVID cases in the United States of America, and he wants to open it up more.",1,idea insist forward open half state america significant increase covid death covid case united states america want open,3
241,Biden,Why is he want to open it up?,0,want open,8
242,Biden,Why does he take care of the... You can't fix the economy until you fix the COVID crisis.,1,care fix economy fix covid crisis,3
243,Biden,And he has no intention of doing anything about making it better for you all at home in terms of your health and your safety.,0,intention make well home term health safety,3
244,Biden,Schools.,0,school,3
245,Biden,Why aren't schools open?,1,school open,3
246,Biden,Because it costs a lot of money to open them safely.,1,cost lot money open safely,3
247,Biden,"They were going to give, his administration going to give the teachers and school students masks, and then they decided no, couldn't do that because it's not a national emergency.",0,go administration go teacher school student mask decide national emergency,3
248,Biden,Not a national emergency.,0,national emergency,0
249,Biden,They've done nothing to help small businesses.,0,help small business,3
251,Biden,They're closing.,0,close,3
252,Biden,One in six is now gone.,0,go,3
253,Biden,He ought to get on the job and take care of the needs of the American people so we can open safely.,1,ought job care need american people open safely,1
254,Biden,People want to be safe.,1,people want safe,8
255,Biden,People want to be safe.,0,people want safe,8
256,Biden,Show us your tax returns.,0,tax return,1
257,Biden,Show us your tax returns.,0,tax return,1
258,Biden,Release your tax return.,0,release tax return,1
259,Biden,"Yeah, I do want to respond.",0,want respond,8
260,Biden,"Look, the tax code that put him in a position that he pays less tax than on the money a school teacher makes is because of him...",0,look tax code position pay tax money school teacher make,1
261,Biden,He says he's smart because he can take advantage of the tax code.,0,say smart advantage tax code,1
262,Biden,And he does take advantage of the tax code.,0,advantage tax code,1
263,Biden,That's why I'm going to eliminate the Trump tax cuts.,1,go eliminate trump tax cut,1
264,Biden,And I'm going to eliminate those tax cuts.,0,go eliminate tax cut,1
265,Biden,And make sure that we invest in the people who in fact need the help.,1,sure invest people fact need help,5
266,Biden,People out there need help.,1,people need help,1
267,Biden,Because you weren't president-,0,president,3
268,Biden,Because you weren't president and screwing things up.,0,president screw thing,8
269,Biden,You're the worst president America has ever had.,0,bad president america,3
270,Biden,Come on.,0,come,3
271,Biden,"Well, just take a look at what is the analysis done by Wall Street firms, points out that my economic plan would create 7 million more jobs than his in four years, number one.",1,look analysis wall street firm point economic plan create million job year,3
272,Biden,"And number two, it would create an additional $1 trillion in economic growth, because it would be about buying American.",1,create additional trillion economic growth buy american,1
273,Biden,"The federal government spends $600 billion a year on everything from ships, to steel, to buildings and the like.",1,federal government spend billion year ship steel building,3
274,Biden,"And under my proposal, we're going to make sure that every penny of that has to be made by a company-",1,proposal go sure penny company,5
275,Biden,"By the way, I'm going to eliminate a significant number of the taxes.",1,way go eliminate significant taxis,5
276,Biden,I'm going to make the corporate tax 28%.,1,go corporate tax,1
278,Biden,"You have 91 companies federal, I mean, the fortune 500, who don't pay a single penny in tax making billions of dollars.",0,company federal mean fortune pay single penny tax make billion dollar,1
279,Biden,"Because you in fact passed that, that was your tax proposal.",0,fact pass tax proposal,1
280,Biden,"Yeah, you got it done-",0,get done,3
281,Biden,The economy-,0,economy,3
282,Biden,Let me finish.,0,let finish,8
283,Biden,Not lower tax for the American people.,0,low tax american people,1
284,Biden,Look-,0,look,3
285,Biden,"... we inherited the worst recession, short of a depression in American history.",1,inherit bad recession short depression american history,1
286,Biden,I was asked to bring it back.,0,ask bring,0
287,Biden,We were able to have an economic recovery that created the jobs you're talking about.,1,able economic recovery create job talk,8
288,Biden,"We handed him a booming economy, he blew it.",0,hand boom economy blow,3
289,Biden,He blew it.,0,blow,3
290,Biden,"Yeah, because what he did, even before COVID, manufacturing went in the hole.",0,covid manufacturing go hole,0
291,Biden,Manufacturing went in a hole-,0,manufacturing go hole,0
293,Biden,Number two-,0,two,3
294,Biden,This guy-,0,guy,3
295,Biden,I'm the guy that brought back the automobile industry.,1,guy bring automobile industry,3
296,Biden,I was asked to bring back Chrysler and General Motors.,1,ask bring chrysler general motor,0
297,Biden,He brought them back right here in the state of Ohio and Michigan.,0,bring right state ohio michigan,0
298,Biden,He blew it.,0,blow,3
299,Biden,They're gone.,0,go,3
300,Biden,He blew it.,0,blow,3
301,Biden,"And in fact, they're gone-",0,fact gone,5
302,Biden,That is not true.,0,true,4
303,Biden,And so you take a look at what he's actually done.,0,look actually,3
304,Biden,He's done very little.,0,little,3
305,Biden,His trade deals are the same way.,0,trade deal way,6
306,Biden,He talks about these great trade deals.,0,talk great trade deal,6
307,Biden,He talks about the art of the deal.,0,talk art deal,6
308,Biden,China's perfected the art of the steel.,0,china perfect art steel,3
309,Biden,We have a higher deficit with China now than we did before.,0,high deficit china,3
310,Biden,We have the highest trade deficit-,0,high trade deficit,3
311,Biden,... with Mexico.,0,mexico,3
312,Biden,That is not true.,0,true,4
313,Biden,None of that is true.,0,true,4
314,Biden,None of that is true.,0,true,4
315,Biden,Is totally-,0,totally,0
316,Biden,Totally discredited.,0,totally discredited,0
317,Biden,Totally discredited.,0,totally discredited,0
318,Biden,And by the way-,0,way,5
319,Biden,Mr. Vice-,0,mr vice,3
320,Biden,That is not true.,0,true,4
321,Biden,It is not a fact.,0,fact,5
322,Biden,It's been totally discredited.,0,totally discredit,0
323,Biden,My son did nothing wrong at Barisma-,0,son wrong barisma,0
324,Biden,"He doesn't want to let me answer, because he knows I have the truth.",0,want let answer know truth,8
325,Biden,His position has been totally thoroughly discredited-,0,position totally thoroughly discredited,0
326,Biden,And you can-,0,can,3
327,Biden,by everybody.,0,everybody,3
328,Biden,"Well, by the media, by our allies.",0,medium ally,0
329,Biden,By the World Bank-,0,world bank,0
330,Biden,"By everyone, has discredited.",0,discredit,0
331,Biden,And matter of fact   Matter of fact-,0,matter fact matter fact,5
332,Biden,Even the people who testified under oath-,0,people testify oath,1
333,Biden,Even the people under-,0,people under,1
334,Biden,... testified under oath in his administration said I did my job and I did it very well.,0,testify oath administration say job,5
335,Biden,I did it honorably.,0,honorably,3
336,Biden,"Well, I'll give you the list of the people who-",0,list people who,1
337,Biden,"I'm sure that you've already fired most of them, because they did a good job.",0,sure fire good job,5
338,Biden,"Well, here's the-",0,the,3
339,Biden,"Well, it's hard to get any word in with this clown.",0,hard word clown,3
340,Biden,"Excuse me, this person.",0,excuse person,3
342,Biden,Mr. President-,0,mr president,3
343,Biden,That is simply not true.,0,simply true,4
344,Biden,"Look, here's the deal.",0,look deal,6
345,Biden,We want to talk about families and ethics.,0,want talk family ethic,8
346,Biden,I don't want to do that.,0,want,8
347,Biden,"I mean, his family, we could talk about all night.",0,mean family talk night,8
348,Biden,His family's already-,0,family already,3
349,Biden,And that's such a-,0,a,3
350,Biden,This is not about my family or his family.,1,family family,3
351,Biden,"It's about your family, the American people.",1,family american people,1
352,Biden,That's not true.,0,true,4
353,Biden,It doesn't want to talk about what you need.,0,want talk need,8
354,Biden,"You, the American people, it's about you.",1,american people,1
355,Biden,That's what we're talking about here.,0,talk,8
356,Biden,Try to be honest.,0,try honest,0
357,Biden,That is absolutely not true.,0,absolutely true,4
358,Biden,That's a good point.,0,good point,3
359,Biden,It's about equity and equality.,1,equity equality,0
360,Biden,It's about decency.,1,decency,3
361,Biden,It's about the constitution.,1,constitution,3
362,Biden,"And we have never walked away from trying to require equity for everyone, equality for the whole of America.",1,walk away try require equity equality america,0
363,Biden,"But we've never accomplished it, but we've never walked away from it like he has done.",0,accomplish walk away,3
364,Biden,"It is true, the reason I got in the race is when those people... Close your eyes, remember what those people look like coming out of the fields, carrying torches, their veins bulging, just spewing anti-Semitic bile and accompanied by the Ku Klux Klan.",1,true reason get race people close eye remember people look come field carry torch vein bulge spew anti semitic bile accompany ku klux klan,1
365,Biden,A young woman got killed and they asked the president what he thought.,0,young woman get kill ask president think,0
366,Biden,"He said, There were very fine people on both sides.",0,say fine people side,5
367,Biden,No president's ever said anything like that.,0,president say,5
369,Biden,Now-,0,now,3
370,Biden,"... second point I'd make to you, is that when Floyd was killed, when Mr. Floyd was killed, there was a peaceful protest in front of the White House.",0,second point floyd kill mr floyd kill peaceful protest white house,0
372,Biden,"He came out of his bunker, had the military use tear gas on them so he could walk across to a church and hold up a Bible.",0,come bunker military use tear gas walk church hold bible,0
373,Biden,And then what happened after that?,0,happen,3
374,Biden,The Bishop of that very church said that it was a disgrace.,0,bishop church say disgrace,5
375,Biden,"The general who was with him said all he ever wants to do is divide people, not unite people at all.",0,general say want divide people unite people,1
376,Biden,"This is a president who has used everything as a dog whistle, to try to generate racists hatred, racist division.",1,president dog whistle try generate racist hatred racist division,3
377,Biden,"This is a man who, in fact, you talk about helping African-Americans, one in 1000 African Americans has been killed because of the coronavirus.",1,man fact talk help african americans african americans kill coronavirus,5
378,Biden,"And if he doesn't do something quickly, by the end of the year, one in 500 will have been killed.",1,quickly end year kill,3
379,Biden,One in 500 African Americans.,0,african americans,0
380,Biden,This man is as a savior of African-Americans?,0,man savior african americans,3
381,Biden,This man cares at all?,0,man care,3
382,Biden,This man's done virtually nothing.,0,man virtually,3
383,Biden,"Look, the fact is that you have to look at what he talks about.",0,look fact look talk,8
384,Biden,You have to look at what he did.,0,look,3
385,Biden,And what he did has been disastrous for the African-American community.,0,disastrous african american community,1
386,Biden,I've never said-,0,said,3
387,Biden,"Yes, there is.",0,yes,3
388,Biden,"There's systemic injustice in this country, in education and work and in law enforcement and the way in which it's enforced.",1,systemic injustice country education work law enforcement way enforce,5
389,Biden,"But look, the vast majority of police officers are good, decent, honorable men and women.",1,look vast majority police officer good decent honorable man woman,3
390,Biden,"They risk their lives every day to take care of us, but there are some bad apples.",1,risk life day care bad apple,3
391,Biden,"And when they occur, when they find them, they have to be sorted out.",1,occur find sort,3
392,Biden,They have to be held accountable.,1,hold accountable,0
393,Biden,They have to be held accountable.,0,hold accountable,0
394,Biden,"And what I'm going to do as President of the United States is call together an entire group of people at the White House, everything from the civil rights groups, to the police officers, to the police chiefs, and we're going to work this out.",1,go president united states entire group people white house civil right group police officer police chief go work,3
395,Biden,We're going to work this out.,0,go work,3
396,Biden,"So we changed the way in which we have more transparency, in when these things happen.",1,change way transparency thing happen,8
397,Biden,These cops aren't happy to see what happened to George Floyd.,0,cop happy happen george floyd,3
398,Biden,These cops aren't happy to see what happened to Breonna Taylor.,0,cop happy happen breonna taylor,3
399,Biden,"Most don't like it, but we have to have a system where people are held accountable when... And by the way, violence in response is never appropriate, never appropriate.",0,system people hold accountable way violence response appropriate appropriate,5
400,Biden,"Peaceful protest is, violence is never appropriate.",1,peaceful protest violence appropriate,0
401,Biden,That is not peaceful protest.,0,peaceful protest,0
403,Biden,He's the racist.,0,racist,3
404,Biden,Here's the deal.,0,deal,6
405,Biden,I know a lot more about this-  .,0,know lot this,7
406,Biden,The fact is that there is racial insensitivity.,1,fact racial insensitivity,5
407,Biden,"People have to be made aware of what other people feel like, what insults them, what is demeaning to them.",1,people aware people feel insult demean,1
408,Biden,It's important people know.,0,important people know,7
409,Biden,"Many people don't want to hurt other people's feelings, but it makes a big difference.",1,people want hurt people feeling make big difference,1
410,Biden,It makes a gigantic difference in the way a child is able to grow up and have a sense of self-esteem.,1,make gigantic difference way child able grow sense self esteem,3
411,Biden,It's a little bit like how this guy and his friends look down on so many people.,0,little bit guy friend look people,1
412,Biden,"They look down their nose on people like Irish Catholics, like me, who grow up in Scranton.",0,look nose people irish catholics grow scranton,1
413,Biden,They look down on people who don't have money.,0,look people money,1
414,Biden,They look down on people who are of a different faith.,0,look people different faith,1
415,Biden,They looked down on people who are a different color.,0,look people different color,1
416,Biden,"In fact, we're all Americans.",1,fact americans,5
417,Biden,The only way we're going to bring this country together is bring everybody together.,1,way go bring country bring everybody,5
419,Biden,We can take this on and we can defeat racism in American.,1,defeat racism american,1
420,Biden,Oh my Lord.,0,lord,3
