,speaker,text,cluster tokens,cluster
118,Biden,"Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession. Number one. Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away. He won't ever look you in the eye and say that's what he wants to do. Take it away.",fact cost million people healthcare employer recession million people get healthcare obamacare want away look eye want away,2
120,Biden,He doesn't know how. He doesn't know how to do that.,know know,3
122,Biden,He has never offered a plan.,offer plan,0
130,Biden,He has no plan for healthcare.,plan healthcare,0
133,Biden,"He sends out wishful thinking. He has Executive Orders that have no power. He hasn't lowered drug costs for anybody. He's been promising a healthcare plan since he got elected. He has none, like almost everything else he talks about. He does not have a plan. He doesn't have a plan. And the fact is this man doesn't know what he's talking about.  .",send wishful thinking executive order power lower drug cost anybody promise healthcare plan get elect talk plan plan fact man know talk,0
135,Biden,Sure.,sure,0
137,Biden,"Whatever position I take on that, that'll become the issue. The issue is the American people should speak. You should go out and vote. You're voting now. Vote and let your Senators know strongly how you feel.",position issue issue american people speak vote vote vote let senator know strongly feel,2
139,Biden,Vote now.,vote,2
141,Biden,"Make sure you, in fact, let people know, your Senators.",sure fact let people know senator,3
143,Biden,I'm not going to answer the question.,go answer question,4
145,Biden,"Will you shut up, man?",shut man,2
148,Biden,This is so un-Presidential.,un presidential,0
151,Biden,"That was really a productive segment, wasn't it? Keep yapping, man.",productive segment yap man,2
153,Biden,They sure do.,sure,0
156,Biden,"Good luck. 200,000 dead. As you said, over seven million infected in the United States. We, in fact, have 4% of the world's population, 20% of the deaths. 40,000 people a day are contracting COVID. In addition to that, about between 750 and 1000 people a day are dying. When he was presented with that number, he said, It is what it is. Well, it is what it is because you are who you are. That's why it is. The President has no plan. He hasn't laid out anything. He knew all the way back in February how serious this crisis was. He knew it was a deadly disease. What did he do? He's on tape as acknowledging he knew it. He said he didn't tell us or give people a warning of it because he didn't want to panic the American people. You don't panic. He panicked. In addition to that, what did he do?",good luck dead say seven million infect united states fact world population death people day contract covid addition people day die present say president plan lay know way february crisis know deadly disease tape acknowledge know say tell people warning want panic american people panic panic addition,3
157,Biden,He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was. He did not even ask Xi to do that.,go insist people ground china able wuhan determine dangerous ask xi,0
159,Biden,He told us what a great job Xi was doing. He said we owe him debt of gratitude for being so transparent with us. And what did he do then? He then did nothing. He waited and waited and waited. He still doesn't have a plan.,tell great job xi say owe debt gratitude transparent wait wait wait plan,0
163,Biden,"I laid out back in March, exactly what we should be doing. And I laid out again in July, what we should be doing. We should be providing all the protective gear possible. We should be providing the money the House has passed in order to be able to go out and get people the help they need to keep their businesses open. Open schools cost a lot of money. You should get out of your bunker and get out of the sand trap in your golf course and go in the Oval Office and bring together the Democrats and Republicans and fund what needs to be done now to save lives.",lay march exactly lay july provide protective gear possible provide money house pass order able people help need business open open school cost lot money bunker sand trap golf course oval office bring democrats republicans fund need save life,0
170,Biden,I know how to do the job. I know how to get the job done.,know job know job,3
172,Biden,"14,000 people died, not 200,000.",people die,2
175,Biden,"And there was no one ... We didn't shut down the economy. This is his economy he shut down. The reason it's shut down is because, look, you folks at home. How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID? How many of you are in a situation where you lost your mom or dad and you couldn't even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?",shut economy economy shut reason shut look folk home get morning chair kitchen table die covid situation lose mom dad speak nurse hold phone fact goodbye,0
177,Biden,"His own CDC Director says we could lose as many as another 200,000 people between now and the end of the year. And he said, if we just wear a mask, we can save half those numbers. Just a mask. And by the way, in terms of the whole notion of a vaccine, we're for a vaccine, but I don't trust him at all. Nor do you. I know you don't. What we trust is a scientist.",cdc director say lose people end year say wear mask save half mask way term notion vaccine vaccine trust know trust scientist,0
181,Biden,God.,god,0
189,Biden,This is the same man who told you-,man tell you,2
191,Biden,"... by Easter, this would be gone away. By the warm weather, it'd be gone. Miraculous, like a miracle. And by the way, maybe you could inject some bleach in your arm, and that would take care of it. This is the same man.",easter go away warm weather go miraculous miracle way maybe inject bleach arm care man,2
193,Biden,"So here's the deal. This man is talking about a vaccine. Every serious company is talking about maybe having a vaccine done by the end of the year, but the distribution of that vaccine will not occur until sometime beginning of the middle of next year to get it out, if we get the vaccine. And pray God we will. Pray God we will.",deal man talk vaccine company talk maybe have vaccine end year distribution vaccine occur beginning middle year vaccine pray god pray god,0
197,Biden,No more than the question you just asked him. You pointed out he puts pressure and disagrees with his own scientists.,question ask point put pressure disagree scientist,4
199,Biden,Everybody knows-,everybody knows,0
201,Biden,"Well, no, no. You can trust the scientist. She didn't say that. You can trust the-",trust scientist trust the,0
203,Biden,"Yes. Well, that's what he's going to try to do, but there's thousands of scientists out there, like here at this great hospital that don't work for him. Their job doesn't depend on him. They're the people... And by the way-",yes go try thousand scientist great hospital work job depend people way,2
205,Biden,By the way-,way,0
208,Biden,"Do you believe for a moment what he's telling you in light of all the lies he's told you about the whole issue relating to COVID? He still hasn't even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn't even tell you. He's on record as saying it. He panicked or he just looked at the stock market. One of the two. Because guess what? A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-",believe moment tell light lie tell issue relate covid acknowledge know happen know dangerous go february tell record say panic look stock market guess lot people die lot go die get lot smarter lot quicker,3
211,Biden,"Oh, give me a break.",break,0
213,Biden,"Well, let's have this debate-",let debate,0
218,Biden,"Because he doesn't have a plan. If I were running it, I'd know what the plan is. You've got to provide these businesses the ability to have the money to be able to reopen with the PPE, as well as with the sanitation they need. You have to provide them classic-",plan run know plan get provide business ability money able reopen ppe sanitation need provide classic,0
220,Biden,Will he just shush for a minute?,shush minute,0
222,Biden,"Nancy Pelosi and Schumer, they have a plan. He won't even meet with them. The Republicans won't meet in the Senate. He sits in his golf course. Well, I mean, literally, think about it. Think about it.",nancy pelosi schumer plan meet republicans meet senate sit golf course mean literally think think,0
226,Biden,You just admitted you'd shut it down.,admit shut,0
231,Biden,I got to respond to that.,get respond,0
236,Biden,I got to respond to that.,get respond,0
240,Biden,Just like your rally.,rally,0
245,Biden,"Look, the way to open businesses is give them the wherewithal to be able open. We provided money, the-",look way open business wherewithal able open provide money the,0
247,Biden,"Well, masks make a big difference. His own head of the CDC said if we just wore masks between now, if everybody wore a mask and social distanced between now and January, we'd probably save up to 100,000 lives. It matters. It matters.",mask big difference head cdc say wear mask everybody wear mask social distance january probably save life matter matter,0
249,Biden,No serious person has said the opposite. No serious person.,person say opposite person,0
252,Biden,He did not say the opposite.,opposite,0
269,Biden,"By the way, did you see one of the last big rallies he had? A reporter came up to him to ask him a question, he said, No, no, no. Stand back, put on your mask, put on a mask. Have you been tested? I'm way far away from those other people. That's what he said, I'm going to be okay. He's not worried about you. He's not worried about the people out there  .",way big rally reporter come ask question say stand mask mask test way far away people say go okay worried worried people,4
271,Biden,No negative effect. Come on.,negative effect come,0
274,Biden,"Yes, I would. He's been totally irresponsible the way in which he has handled the social distancing and people wearing masks, basically encouraged them not to. He's a fool on this.",yes totally irresponsible way handle social distancing people wear mask basically encourage fool,5
287,Biden,"The difference is millionaires and billionaires like him in the middle of the COVID crisis have done very well. Billionaires have made another $300 billion because of his profligate tax proposal, and he only focused on the market. But you folks at home, you folks living in Scranton and Claymont and all the small towns and working class towns in America, how well are you doing? This guy paid a total of $750 in taxes.",difference millionaire billionaire middle covid crisis billionaire billion profligate tax proposal focus market folk home folk live scranton claymont small town working class town america guy pay total taxis,0
292,Biden,"Do I get my time back? The fact is that he has in fact, worked on this in a way that he's going to be the first president of the United States to leave office, having fewer jobs in his administration than when he became president. Fewer jobs than when he became president. First one in American history.",time fact fact work way go president united states leave office have few job administration president few job president american history,2
293,Biden,"Secondly, the people who have lost their jobs are those people who have been on the front lines. Those people who have been saving our lives, those people who have been out there dying. People who've been putting themselves in the way to make sure that we could all try to make it. And the idea that he is insisting that we go forward and open when you have almost half the states in America with a significant increase in COVID deaths and COVID cases in the United States of America, and he wants to open it up more. Why is he want to open it up? Why does he take care of the... You can't fix the economy until you fix the COVID crisis. And he has no intention of doing anything about making it better for you all at home in terms of your health and your safety.",secondly people lose job people line people save life people die people put way sure try idea insist forward open half state america significant increase covid death covid case united states america want open want open care fix economy fix covid crisis intention make well home term health safety,2
294,Biden,"Schools. Why aren't schools open? Because it costs a lot of money to open them safely. They were going to give, his administration going to give the teachers and school students masks, and then they decided no, couldn't do that because it's not a national emergency. Not a national emergency. They've done nothing to help small businesses. Nothing. They're closing. One in six is now gone. He ought to get on the job and take care of the needs of the American people so we can open safely.",school school open cost lot money open safely go administration go teacher school student mask decide national emergency national emergency help small business close go ought job care need american people open safely,2
301,Biden,People want to be safe.,people want safe,2
303,Biden,People want to be safe.,people want safe,2
309,Biden,Show us your tax returns.,tax return,0
311,Biden,Show us your tax returns.,tax return,0
316,Biden,Release your tax return.,release tax return,0
330,Biden,"Yeah, I do want to respond. Look, the tax code that put him in a position that he pays less tax than on the money a school teacher makes is because of him... He says he's smart because he can take advantage of the tax code. And he does take advantage of the tax code. That's why I'm going to eliminate the Trump tax cuts. And I'm going to eliminate those tax cuts.",want respond look tax code position pay tax money school teacher make say smart advantage tax code advantage tax code go eliminate trump tax cut go eliminate tax cut,0
332,Biden,And make sure that we invest in the people who in fact need the help. People out there need help.,sure invest people fact need help people need help,2
334,Biden,Because you weren't president-,president,2
336,Biden,Because you weren't president and screwing things up.,president screw thing,2
338,Biden,You're the worst president America has ever had. Come on.,bad president america come,0
346,Biden,"Well, just take a look at what is the analysis done by Wall Street firms, points out that my economic plan would create 7 million more jobs than his in four years, number one. And number two, it would create an additional $1 trillion in economic growth, because it would be about buying American. The federal government spends $600 billion a year on everything from ships, to steel, to buildings and the like. And under my proposal, we're going to make sure that every penny of that has to be made by a company-",look analysis wall street firm point economic plan create million job year create additional trillion economic growth buy american federal government spend billion year ship steel building proposal go sure penny company,0
348,Biden,"By the way, I'm going to eliminate a significant number of the taxes. I'm going to make the corporate tax 28%. It shouldn't be 21%. You have 91 companies federal, I mean, the fortune 500, who don't pay a single penny in tax making billions of dollars.",way go eliminate significant taxis go corporate tax company federal mean fortune pay single penny tax make billion dollar,0
350,Biden,"Because you in fact passed that, that was your tax proposal.",fact pass tax proposal,0
352,Biden,"Yeah, you got it done-",get done,0
354,Biden,The economy-,economy,0
356,Biden,Let me finish.,let finish,0
358,Biden,Not lower tax for the American people.,low tax american people,2
363,Biden,Look-,look,0
365,Biden,"... we inherited the worst recession, short of a depression in American history. I was asked to bring it back. We were able to have an economic recovery that created the jobs you're talking about. We handed him a booming economy, he blew it.",inherit bad recession short depression american history ask bring able economic recovery create job talk hand boom economy blow,0
367,Biden,He blew it.,blow,0
372,Biden,"Yeah, because what he did, even before COVID, manufacturing went in the hole. Manufacturing went in a hole-",covid manufacturing go hole manufacturing go hole,0
374,Biden,... number one. Number two-,two,0
380,Biden,This guy-,guy,0
384,Biden,I'm the guy that brought back the automobile industry.,guy bring automobile industry,0
387,Biden,"I was asked to bring back Chrysler and General Motors. He brought them back right here in the state of Ohio and Michigan. He blew it. They're gone. He blew it. And in fact, they're gone-",ask bring chrysler general motors bring right state ohio michigan blow go blow fact gone,0
389,Biden,That is not true.,true,1
392,Biden,And so you take a look at what he's actually done. He's done very little. His trade deals are the same way. He talks about these great trade deals. He talks about the art of the deal. China's perfected the art of the steel. We have a higher deficit with China now than we did before. We have the highest trade deficit-,look actually little trade deal way talk great trade deal talk art deal china perfect art steel high deficit china high trade deficit,0
394,Biden,... with Mexico.,mexico,0
396,Biden,That is not true.,true,1
398,Biden,None of that is true.,true,1
401,Biden,None of that is true.,true,1
404,Biden,Is totally-,totally,5
406,Biden,Totally discredited. Totally discredited. And by the way-,totally discredited totally discredited way,5
408,Biden,Mr. Vice-,mr vice,0
412,Biden,That is not true.,true,1
416,Biden,It is not a fact.,fact,0
418,Biden,It's been totally discredited.,totally discredit,5
421,Biden,My son did nothing wrong at Barisma-,son wrong barisma,0
424,Biden,"He doesn't want to let me answer, because he knows I have the truth. His position has been totally thoroughly discredited-",want let answer know truth position totally thoroughly discredited,3
426,Biden,And you can-,can,0
428,Biden,"by everybody. Well, by the media, by our allies.",everybody medium ally,0
430,Biden,By the World Bank-,world bank,0
432,Biden,"By everyone, has discredited. And matter of fact   Matter of fact-",discredit matter fact matter fact,5
434,Biden,Even the people who testified under oath-,people testify oath,2
437,Biden,Even the people under-,people under,2
439,Biden,... testified under oath in his administration said I did my job and I did it very well.,testify oath administration say job,0
441,Biden,I did it honorably.,honorably,0
443,Biden,"Well, I'll give you the list of the people who-",list people who,2
446,Biden,"I'm sure that you've already fired most of them, because they did a good job.",sure fire good job,0
448,Biden,"Well, here's the-",the,0
450,Biden,"Well, it's hard to get any word in with this clown. Excuse me, this person.",hard word clown excuse person,0
452,Biden,"No, no. Mr. President-",mr president,2
454,Biden,That is simply not true.,simply true,1
456,Biden,"Look, here's the deal. We want to talk about families and ethics. I don't want to do that. I mean, his family, we could talk about all night. His family's already-",look deal want talk family ethic want mean family talk night family already,0
460,Biden,And that's such a-,a,0
463,Biden,"This is not about my family or his family. It's about your family, the American people.   That's not true. It doesn't want to talk about what you need. You, the American people, it's about you. That's what we're talking about here.",family family family american people true want talk need american people talk,2
468,Biden,Try to be honest.,try honest,2
475,Biden,That is absolutely not true.,absolutely true,1
477,Biden,That's a good point.,good point,0
489,Biden,"It's about equity and equality. It's about decency. It's about the constitution. And we have never walked away from trying to require equity for everyone, equality for the whole of America. But we've never accomplished it, but we've never walked away from it like he has done. It is true, the reason I got in the race is when those people... Close your eyes, remember what those people look like coming out of the fields, carrying torches, their veins bulging, just spewing anti-Semitic bile and accompanied by the Ku Klux Klan. A young woman got killed and they asked the president what he thought. He said, There were very fine people on both sides. No president's ever said anything like that.  .",equity equality decency constitution walk away try require equity equality america accomplish walk away true reason get race people close eye remember people look come field carry torch vein bulge spew anti semitic bile accompany ku klux klan young woman get kill ask president think say fine people side president say,2
491,Biden,Now-,now,0
493,Biden,"... second point I'd make to you, is that when Floyd was killed, when Mr. Floyd was killed, there was a peaceful protest in front of the White House. What did he do? He came out of his bunker, had the military use tear gas on them so he could walk across to a church and hold up a Bible. And then what happened after that? The Bishop of that very church said that it was a disgrace. The general who was with him said all he ever wants to do is divide people, not unite people at all. This is a president who has used everything as a dog whistle, to try to generate racists hatred, racist division.",second point floyd kill mr floyd kill peaceful protest white house come bunker military use tear gas walk church hold bible happen bishop church say disgrace general say want divide people unite people president dog whistle try generate racist hatred racist division,2
494,Biden,"This is a man who, in fact, you talk about helping African-Americans, one in 1000 African Americans has been killed because of the coronavirus. And if he doesn't do something quickly, by the end of the year, one in 500 will have been killed. One in 500 African Americans. This man is as a savior of African-Americans? This man cares at all? This man's done virtually nothing. Look, the fact is that you have to look at what he talks about. You have to look at what he did. And what he did has been disastrous for the African-American community.",man fact talk help african americans african americans kill coronavirus quickly end year kill african americans man savior african americans man care man virtually look fact look talk look disastrous african american community,2
498,Biden,I've never said-,said,0
503,Biden,"Yes, there is. There's systemic injustice in this country, in education and work and in law enforcement and the way in which it's enforced. But look, the vast majority of police officers are good, decent, honorable men and women. They risk their lives every day to take care of us, but there are some bad apples. And when they occur, when they find them, they have to be sorted out. They have to be held accountable. They have to be held accountable. And what I'm going to do as President of the United States is call together an entire group of people at the White House, everything from the civil rights groups, to the police officers, to the police chiefs, and we're going to work this out.",yes systemic injustice country education work law enforcement way enforce look vast majority police officer good decent honorable man woman risk life day care bad apple occur find sort hold accountable hold accountable go president united states entire group people white house civil right group police officer police chief go work,2
504,Biden,"We're going to work this out. So we changed the way in which we have more transparency, in when these things happen. These cops aren't happy to see what happened to George Floyd. These cops aren't happy to see what happened to Breonna Taylor. Most don't like it, but we have to have a system where people are held accountable when... And by the way, violence in response is never appropriate, never appropriate. Peaceful protest is, violence is never appropriate.",go work change way transparency thing happen cop happy happen george floyd cop happy happen breonna taylor system people hold accountable way violence response appropriate appropriate peaceful protest violence appropriate,2
509,Biden,That is not peaceful protest.,peaceful protest,0
518,Biden,Nobody's doing that. He's the racist.,racist,0
520,Biden,Here's the deal. I know a lot more about this-  .,deal know lot this,3
522,Biden,"The fact is that there is racial insensitivity. People have to be made aware of what other people feel like, what insults them, what is demeaning to them. It's important people know. Many people don't want to hurt other people's feelings, but it makes a big difference. It makes a gigantic difference in the way a child is able to grow up and have a sense of self-esteem. It's a little bit like how this guy and his friends look down on so many people. They look down their nose on people like Irish Catholics, like me, who grow up in Scranton. They look down on people who don't have money. They look down on people who are of a different faith. They looked down on people who are a different color. In fact, we're all Americans. The only way we're going to bring this country together is bring everybody together. There's nothing we cannot do, if we do it together. We can take this on and we can defeat racism in American.",fact racial insensitivity people aware people feel insult demean important people know people want hurt people feeling make big difference make gigantic difference way child able grow sense self esteem little bit guy friend look people look nose people irish catholics grow scranton look people money look people different faith look people different color fact americans way go bring country bring everybody defeat racism american,2
525,Biden,Oh my Lord.,lord,0
527,Biden,This is ridiculous.,ridiculous,0
529,Biden,Absolutely ridiculous.,absolutely ridiculous,0
531,Biden,Violent crime-,violent crime,0
533,Biden,I'm in favor of law. You-  .,favor law you,0
536,Biden,"Law and order with justice, where people get treated fairly.",law order justice people treat fairly,2
538,Biden,"And the fact of the matter is, violent crime went down 17%, 15% in our administration. It's gone up on his watch.",fact matter violent crime go administration go watch,0
545,Biden,He wouldn't know a suburb unless you took a wrong turn.,know suburb take wrong turn,3
548,Biden,"I was raised in the suburbs. This is not 1950. All these dog whistles and racism don't work anymore. Suburbs are by and large integrated. There's many people today driving their kids to soccer practice and/or black and white and Hispanic in the same car as there have been any time in the past, what really is a threat to the suburbs and their safety is his failure to deal with COVID. They're dying in the suburbs. His failure to deal with the environment, they're being flooded, they're being burned out because his refusal to do anything. That's why the suburbs are in trouble.",raise suburb dog whistle racism work anymore suburb large integrated people today drive kid soccer practice and or black white hispanic car time past threat suburb safety failure deal covid die suburb failure deal environment flood burn refusal suburb trouble,2
550,Biden,"Look, what I support are the police having the opportunity to deal with the problems they face and I'm totally opposed to defunding the police offices. As a matter of fact police, local police, the only one defunding in his budget calls for a $400 million cut in local law enforcement assistance. They need more assistance. They need when they show up for a 9-11 call to have someone with them as a psychologist or psychiatrist to keep them from having to use force and be able to talk people down. We have to have community policing like we had before where the officers get to know the people in the communities. That's when crime went down, it didn't go up. It went down. And so we have to be...",look support police have opportunity deal problem face totally opposed defunde police office matter fact police local police defunding budget call million cut local law enforcement assistance need assistance need psychologist psychiatrist have use force able talk people community police officer know people community crime go go,2
552,Biden,That is not true.,true,1
554,Biden,That's not true.,true,1
556,Biden,We don't have time to do anything.,time,0
561,Biden,I don't hold public office. Now I am a former vice president. I've made it clear. I've made it clear in my public statements that the violence should be prosecuted. It should be prosecuted and anyone who committed it should be prosecuted.,hold public office vice president clear clear public statement violence prosecute prosecute commit prosecute,2
565,Biden,They can in fact take care of it if he just stay out of the way.,fact care stay way,2
568,Biden,"And by the way his own former spokesperson said, Riots and chaos and violence help he cause. That's what this is all about.",way spokesperson say riot chaos violence help cause,0
572,Biden,I think Kellyanne Conway.,think kellyanne conway,0
574,Biden,She said that.,say,0
576,Biden,"Here's the point, the point is that that's why he keeps trying to rile everything up. He doesn't want to calm things down instead of going in and talking to people and saying, Let's get everybody together. Figure out how to deal with this. What's he do? He just pours gasoline in the fire constantly and every single solitary time.",point point keep try rile want calm thing instead go talk people say let everybody figure deal pour gasoline fire constantly single solitary time,2
596,Biden,"He's own FBI Director said unlike white supremacist, Antifa is an idea not an organization-",fbi director say unlike white supremacist antifa idea organization,0
598,Biden,... not a militia. That's what his FBI Director said.,militia fbi director say,0
602,Biden,"Every body in your administration tells you the true, it's a bad idea. You have no idea about anything.",body administration tell true bad idea idea,0
611,Biden,"Under this president, we become weaker, sicker, poor, more divided and more violent. When I was vice president, we inherited a recession. I was asked to fix it. I did. We left him a booming economy and he caused the recession. With regard to being weaker, the fact is that I've gone head to head with Putin and made it clear to him we're not going to take any of his stuff. He's Putin's puppy. He still refuses to even say anything to Putin about the bounty on the heads of American soldiers.",president weak sicker poor divided violent vice president inherit recession ask fix leave boom economy cause recession regard weak fact go head head putin clear go stuff putin puppy refuse putin bounty head american soldier,0
613,Biden,"By the way, my son...",way son,0
615,Biden,He never keeps his word.,keep word,0
617,Biden,Can you get back 30 seconds?,second,0
619,Biden,"So thirdly, we're poor. The billionaires have gotten much more wealthy by a tune of over $3- $400 billion more just since COVID. You in the home, you got less you're in more trouble than you were before. In terms of being more violent. When we were in office there were 15% less violence in America than there is today. He's President United States. It's on his watch. And with regard to more divided the nation, it can't stay divided. We can't be this way. And speaking of my son, the way you talk about the military, the way you talk about them being losers and being and just being suckers. My son was in Iraq. He spent a year there. He got the Brown Star. He got the Conspicuous Service Medal. He was not a loser. He was a Patriot and the people left behind there were heroes.",thirdly poor billionaire get wealthy tune billion covid home get trouble term violent office violence america today president united states watch regard divide nation stay divided way speak son way talk military way talk loser sucker son iraq spend year get brown star get conspicuous service medal loser patriot people leave hero,0
621,Biden,And I resent-,resent,0
623,Biden,"I'm talking about my son, Beau Biden, you're talking about Hunter?",talk son beau biden talk hunter,0
625,Biden,That's not true he was not dishonorably discharged.,true dishonorably discharge,1
627,Biden,None of that is true.,true,1
629,Biden,That is not true.,true,1
631,Biden,"My son like a lot of people at home had a drug problem. He's overtaking it. He's fixed it. He's worked on it. And I'm proud of him, I'm proud of my son.",son lot people home drug problem overtake fix work proud proud son,2
633,Biden,He wasn't given tens of millions of dollars.   It was all discredited.,give ten million dollar discredit,5
636,Biden,That is not true. That report is totally discredited.,true report totally discredit,5
638,Biden,Mitt Romney on that committee said it wasn't worth taxpayer's money. That report was written for political reason.,mitt romney committee say worth taxpayer money report write political reason,0
640,Biden,So would I.,i,0
649,Biden,Why have you relaxed fuel economy standards that are going to create more pollution from cars and trucks?,relaxed fuel economy standard go create pollution car truck,0
654,Biden,"He's absolutely wrong, number one. Number two, if in fact, during our administration in the recovery act, I was in charge able to bring down the cost of renewable energy to cheaper than are as cheap as coal and gas and oil. Nobody's going to build another coal fired plant in America. No one's going to build another oil fire plant in America. They're going to move to renewable energy. Number one, number two, we're going to make sure that we are able to take the federal fleet and turn it into a fleet that's run on their electric vehicles. Making sure that we can do that, we're going to put 500,000 charging stations in all of the highways that we're going to be building in the future. We're going to build a economy that in fact is going to provide for the ability of us to take 4 million buildings and make sure that they in fact are weatherized in a way that in fact will they'll emit significantly less gas and oil because the heat will not be going out. There's so many things that we can do...",absolutely wrong fact administration recovery act charge able bring cost renewable energy cheap cheap coal gas oil go build coal fire plant america go build oil fire plant america go renewable energy go sure able federal fleet turn fleet run electric vehicle make sure go charge station highway go build future go build economy fact go provide ability million building sure fact weatherize way fact emit significantly gas oil heat go thing,0
