,speaker,text,cleaned
36,Wallace,Mr. President.,mr president
37,Trump,We’re talking about two million people.,talk million people
38,Biden,You’re not going to be able to shut him up.,go able shut
39,Wallace,"Mr. President, as the moderator, we are going to talk about COVID in the next segment. But go ahead.",mr president moderator go talk covid segment ahead
40,Biden,"Let me finish. The point is that the President also is opposed to Roe V. Wade. That’s on the ballot as well and the court, in the court, and so that’s also at stake right now. And so the election is all-",let finish point president oppose roe v wade ballot court court stake right election all
41,Trump,You don’t know what’s on the ballot. Why is it on the ballot? Why is it on the ballot? It’s not on the ballot.,know ballot ballot ballot ballot
42,Biden,It’s on the ballot in the court.,ballot court
43,Trump,I don’t think so.,think
44,Biden,In the court.,court
45,Trump,There’s nothing happening there.,happen
46,Biden,Donald would you just be quiet for a minute.,donald quiet minute
47,Trump,You don’t know her view on Roe V. Wade? You don’t know here view.,know view roe v wade know view
48,Wallace,"Well, all right. All right. Let’s talk. We’ve got a lot to unpack here, gentlemen. We’ve got a lot of time. On healthcare, and then we’ll come back to Roe V. Wade.",right right let talk get lot unpack gentleman get lot time healthcare come roe v wade
49,Biden,All right.,right
50,Wallace,"Mr. President, the Supreme Court will hear a case a week after the election in which the Trump Administration, along with 18 state Attorney Generals are seeking to overturn Obamacare, to end Obamacare.",mr president supreme court hear case week election trump administration state attorney general seek overturn obamacare end obamacare
51,Trump,That’s right.,right
52,Wallace,You have spent the last week-,spend week
53,Trump,Because they want to give good healthcare.,want good healthcare
54,Wallace,"If I may ask my question, sir.",ask question sir
55,Biden,Good healthcare.,good healthcare
56,Wallace,"Over the last four years, you have promised to repeal and replace Obamacare, but you have never in these four years come up with a plan, a comprehensive plan, to replace Obamacare.",year promise repeal replace obamacare year come plan comprehensive plan replace obamacare
57,Trump,"Yes, I have. Of course, I have. The individual mandate.",yes course individual mandate
58,Wallace,[crosstalk 00:11:26] when I finish I’m going to give an opportunity-,finish go opportunity
59,Trump,"Excuse me. I got rid of the individual mandate, which was a big chunk of Obamacare.",excuse get rid individual mandate big chunk obamacare
60,Wallace,That’s not a comprehensive place.,comprehensive place
61,Trump,That is absolutely a big thing. That was the worst part of Obamacare.,absolutely big thing bad obamacare
62,Wallace,"I didn’t ask, sir.",ask sir
63,Trump,"Chris, that was the worst part of Obamacare.",chris bad obamacare
64,Wallace,You’re debating him not me. Let me ask my question.,debate let ask question
65,Trump,"Well, I’ll ask Joe. The individual mandate was the most unpopular aspect of Obamacare.",ask joe individual mandate unpopular aspect obamacare
66,Wallace,Mr. President.,mr president
67,Trump,I got rid of it. And we will protect people.,get rid protect people
68,Wallace,"Mr. President, I’m the moderator of this debate and I would like you to let me ask my question and then you can answer.",mr president moderator debate like let ask question answer
69,Trump,Go ahead.,ahead
70,Wallace,"You, in the course of these four years, have never come up with a comprehensive plan to replace Obamacare, and just this last Thursday you signed a largely symbolic Executive Order to protect people with pre-existing conditions five days before this debate. So my question, sir, is what is the Trump healthcare plan?",course year come comprehensive plan replace obamacare thursday sign largely symbolic executive order protect people pre existing condition day debate question sir trump healthcare plan
71,Trump,"Well, first of all, I guess I’m debating you, not him, but that’s okay. I’m not surprised. Let me just tell you something. There’s nothing symbolic. I’m cutting drug prices. I’m going with Favored Nations, which no President has the courage to do because you’re going against big pharma. Drug prices will be coming down 80 or 90%. You could have done it during your 47 year period in government, but you didn’t do it. Nobody’s done it. So we’re cutting healthcare.",guess debate okay surprised let tell symbolic cut drug price go favored nation president courage go big pharma drug price come year period government cut healthcare
72,Wallace,What about pre-existing conditions?,pre existing condition
73,Trump,All of the things that we’ve done.,thing
74,Biden,He has not done healthcare.,healthcare
75,Trump,"I’ll give you an example. Insulin, it was destroying families, destroying people, the cost. I’m getting it for so cheap it’s like water, you want to know the truth. So cheap. Take a look at all of the drugs that what we’re doing. Prescription drug prices, we’re going to allow our Governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do.",example insulin destroy family destroy people cost get cheap like water want know truth cheap look drug prescription drug price go allow governor country buy drug pay tiny fraction
76,Wallace,"Okay, like I say, this is open discussion.",okay like open discussion
77,Trump,This is big stuff.,big stuff
78,Wallace,"Sir, you’ll be happy. I’m about to pick up on one of your points to ask the Vice President, which is, he points out that you would like to add a public option to Obamacare.",sir happy pick point ask vice president point like add public option obamacare
79,Biden,Yes.,yes
80,Wallace,And the argument that he makes and other Republicans make is that that is going to end private insurance.,argument make republicans go end private insurance
82,Wallace,If I start asking the question.,start ask question
83,Trump,"That’s not what your party says, by the way.",party say way
84,Wallace,And it will end private insurance and create a government takeover of health.,end private insurance create government takeover health
85,Biden,"It does not. It’s only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid. Anyone who qualifies for Medicaid would automatically be enrolled in the public option. The vast majority of the American people would still not be in that option. Number one. Number two.",people poor qualify medicaid free state governor want deny people poor medicaid qualify medicaid automatically enrol public option vast majority american people option number number
86,Trump,"Joe, you agreed with Bernie Sanders, who’s far left, on the manifesto, we call it. And that gives you socialized medicine.",joe agree bernie sander far leave manifesto give socialized medicine
87,Biden,"Look, hey.",look
88,Trump,Are you saying you didn’t agree?,say agree
89,Biden,I’m not going to listen to him. The fact of the matter is I beat Bernie Sanders.,go listen fact matter beat bernie sander
91,Biden,I beat him by a whole hell of a lot.,beat hell lot
93,Biden,"I’m here standing facing you, old buddy.",stand face old buddy
94,Trump,If Pocahontas would have left two days early you would have lost every primary.,pocahontas leave day early lose primary
95,Biden,All he knows how to do-,know do
96,Trump,"On Super Tuesday, you got very lucky.",super tuesday get lucky
97,Biden,Look he’s the deal. I got very lucky. I’m going to get very lucky tonight as well.,look deal get lucky go lucky tonight
99,Biden,And tonight I’m going to make sure.,tonight go sure
101,Biden,"Because here’s the deal, here’s the deal. The fact is that everything he’s saying so far is simply a lie. I’m not here to call out his lies. Everybody knows he’s a liar.",deal deal fact say far simply lie lie everybody know liar
102,Trump,"But you agree. Joe, you’re the liar. You graduated last in your class not first in your class.",agree joe liar graduate class class
103,Biden,"God, I want to make sure-",god want sure
104,Wallace,"Mr. President, can you let him finish, sir?",mr president let finish sir
105,Biden,"No, he doesn’t know how to do that.",know
106,Trump,"You’d be surprised. You’d be surprised. Go ahead, Joe.",surprised surprised ahead joe
107,Biden,"The wrong guy, the wrong night, at the wrong time.",wrong guy wrong night wrong time
108,Trump,"Listen, you agreed with Bernie Sanders and the manifesto.",listen agree bernie sander manifesto
109,Biden,"There is no manifesto, number one.",manifesto number
110,Wallace,"Please let him speak, Mr. President.",let speak mr president
111,Biden,Number two.,number
112,Trump,He just lost the left.,lose left
113,Biden,Number two.,number
114,Trump,"You just lost the left. You agreed with Bernie Sanders on a plan that you absolutely agreed to and under that plan [crosstalk 00:15:10], they call it socialized medicine.",lose left agree bernie sander plan absolutely agree plan socialize medicine
115,Wallace,Mr. President.,mr president
116,Biden,"I’ll tell you what, he is not for any help for people needing healthcare.",tell help people need healthcare
117,Trump,"Who is, Bernie?",bernie
118,Biden,"Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession. Number one. Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away. He won’t ever look you in the eye and say that’s what he wants to do. Take it away.",fact cost million people healthcare employer recession number number million people get healthcare obamacare want away look eye want away
119,Trump,"No, I want to give them better healthcare at a much lower price, because Obamacare is no good.",want well healthcare low price obamacare good
120,Biden,He doesn’t know how. He doesn’t know how to do that.,know know
121,Trump,I’ve already fixed it.,fix
122,Biden,He has never offered a plan.,offer plan
123,Trump,"We’ve already fixed it to an extent. Obamacare, as you might know but probably don’t, Obamacare is no good.",fix extent obamacare know probably obamacare good
124,Wallace,"Gentlemen, you realize if you’re both speaking at the same time. Let the President. Go ahead, sir.",gentleman realize speak time let president ahead sir
125,Trump,"Obamacare is no good. We made it better and I had a choice to make very early on. We took away the individual mandate. We guaranteed pre-existing conditions, but took away the individual mandate. Listen, this is the way it is. And that destroyed … They shouldn’t even call it Obamacare, then I had a choice to make, do I let my people run it really well or badly? If I run it badly, they’ll probably blame him, but they’ll blame me. But more importantly, I want to help people. Okay. I said, “You’ve got to run it so well.” And I just had a meeting with them. They said the problem is, no matter how well you run Obamacare, it’s a disaster. It’s too expensive. Premiums are too high, that it doesn’t work. So we do want to get rid of it. Chris, we want to get rid of that and give something that’s cheaper and better.",obamacare good well choice early take away individual mandate guarantee pre existing condition take away individual mandate listen way destroy obamacare choice let people run badly run badly probably blame blame importantly want help people okay say get run meeting say problem matter run obamacare disaster expensive premium high work want rid chris want rid cheap well
126,Wallace,"I understand that, sir. But I have to give you roughly equal time.",understand sir roughly equal time
127,Trump,Go ahead.,ahead
128,Wallace,"Please let the Vice President talk, sir.",let vice president talk sir
129,Trump,Good.,good
130,Biden,He has no plan for healthcare.,plan healthcare
131,Trump,"Of course, we do.",course
133,Biden,"He sends out wishful thinking. He has Executive Orders that have no power. He hasn’t lowered drug costs for anybody. He’s been promising a healthcare plan since he got elected. He has none, like almost everything else he talks about. He does not have a plan. He doesn’t have a plan. And the fact is this man doesn’t know what he’s talking about. [crosstalk 00:17:14].",send wishful thinking executive order power lower drug cost anybody promise healthcare plan get elect like talk plan plan fact man know talk
134,Wallace,"All right, I have one final question for you.",right final question
135,Biden,Sure.,sure
136,Wallace,"Mr. Vice President, if Senate Republicans, we were talking originally about the Supreme Court here, if Senate Republicans go ahead and confirm Justice Barrett there has been talk about ending the filibuster or even packing the court, adding to the nine justices there. You call this a distraction by the President. But, in fact, it wasn’t brought up by the President. It was brought up by some of your Democratic colleagues in the Congress. So my question to you is, you have refused in the past to talk about it, are you willing to tell the American tonight whether or not you will support either ending the filibuster or packing the court?",mr vice president senate republicans talk originally supreme court senate republicans ahead confirm justice barrett talk end filibuster pack court add justice distraction president fact bring president bring democratic colleague congress question refuse past talk willing tell american tonight support end filibuster pack court
137,Biden,"Whatever position I take on that, that’ll become the issue. The issue is the American people should speak. You should go out and vote. You’re voting now. Vote and let your Senators know strongly how you feel.",position issue issue american people speak vote vote vote let senator know strongly feel
138,Trump,Are you going to pack the court?,go pack court
139,Biden,Vote now.,vote
140,Trump,Are you going to pack the court?,go pack court
141,Biden,"Make sure you, in fact, let people know, your Senators.",sure fact let people know senator
142,Trump,He doesn’t want to answer the question.,want answer question
143,Biden,I’m not going to answer the question.,go answer question
144,Trump,Why wouldn’t you answer that question? You want to put a lot of new Supreme Court Justices. Radical left.,answer question want lot new supreme court justice radical left
145,Biden,"Will you shut up, man?",shut man
146,Trump,"Listen, who is on your list, Joe? Who’s on your list?",listen list joe list
147,Wallace,"Gentlemen, I think we’ve ended this-",gentleman think end this
148,Biden,This is so un-Presidential.,un presidential
149,Trump,He’s going to pack the court. He is not going to give a list.,go pack court go list
150,Wallace,We have ended the segment. We’re going to move on to the second segment.,end segment go second segment
151,Biden,"That was really a productive segment, wasn’t it? Keep yapping, man.",productive segment yap man
152,Trump,"The people understand, Joe.",people understand joe
153,Biden,They sure do.,sure
154,Trump,"47 years, you’ve done nothing. They’re understand.",year understand
155,Wallace,"All right, the second subject is COVID-19, which is an awfully serious subject. So let’s try to be serious about it. We have had more than seven million cases of coronavirus in the United States and more than 200,000 people have died. Even after we produce a vaccine, experts say that it could be months or even years before we come back to anything approaching normal. My question for both of you is, based on what you have said and done so far, and what you have said you would do starting in 2021, why should the American people trust you more than your opponent to deal with this public health crisis going forward? In this case, the question goes to you first, sir. Two minutes, uninterrupted.",right second subject covid awfully subject let try seven million case coronavirus united states people die produce vaccine expert month year come approach normal question base say far say start american people trust opponent deal public health crisis go forward case question go sir minute uninterrupted
156,Biden,"Good luck. 200,000 dead. As you said, over seven million infected in the United States. We, in fact, have 4% of the world’s population, 20% of the deaths. 40,000 people a day are contracting COVID. In addition to that, about between 750 and 1000 people a day are dying. When he was presented with that number, he said, “It is what it is.” Well, it is what it is because you are who you are. That’s why it is. The President has no plan. He hasn’t laid out anything. He knew all the way back in February how serious this crisis was. He knew it was a deadly disease. What did he do? He’s on tape as acknowledging he knew it. He said he didn’t tell us or give people a warning of it because he didn’t want to panic the American people. You don’t panic. He panicked. In addition to that, what did he do?",good luck dead say seven million infect united states fact world population death people day contract covid addition people day die present number say president plan lay know way february crisis know deadly disease tape acknowledge know say tell people warning want panic american people panic panic addition
157,Biden,He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was. He did not even ask Xi to do that.,go insist people ground china able wuhan determine dangerous ask xi
158,Trump,Wrong.,wrong
159,Biden,He told us what a great job Xi was doing. He said we owe him debt of gratitude for being so transparent with us. And what did he do then? He then did nothing. He waited and waited and waited. He still doesn’t have a plan.,tell great job xi say owe debt gratitude transparent wait wait wait plan
160,Trump,Wrong.,wrong
161,Wallace,"Sir, it’s his two minutes.",sir minute
162,Trump,It’s so wrong.,wrong
163,Biden,"I laid out back in March, exactly what we should be doing. And I laid out again in July, what we should be doing. We should be providing all the protective gear possible. We should be providing the money the House has passed in order to be able to go out and get people the help they need to keep their businesses open. Open schools cost a lot of money. You should get out of your bunker and get out of the sand trap in your golf course and go in the Oval Office and bring together the Democrats and Republicans and fund what needs to be done now to save lives.",lay march exactly lay july provide protective gear possible provide money house pass order able people help need business open open school cost lot money bunker sand trap golf course oval office bring democrats republicans fund need save life
164,Trump,"So, if we would have listened to you.",listen
165,Wallace,"Wait, wait. You have two minutes, sir.",wait wait minute sir
166,Trump,"If we would’ve listened to you, the country would have been left wide open, millions of people would have died, not 200,000. And one person is too much. It’s China’s fault. It should have never happened. They stopped it from going in, but it was China’s fault. And, by the way, when you talk about numbers, you don’t know how many people died in China. You don’t know how many people died in Russia. You don’t know how many people died in India. They don’t exactly give you a straight count, just so you understand. But if you look at what we’ve done, I closed it and you said, “He’s xenophobic. He’s a racist and he’s xenophobic,” because you didn’t think I should have closed our country. Wait a minute.",listen country leave wide open million people die person china fault happen stop go china fault way talk number know people die china know people die russia know people die india exactly straight count understand look close say xenophobic racist xenophobic think close country wait minute
167,Wallace,"Sir, it’s his two minutes.",sir minute
168,Trump,"You didn’t think we should have closed our country because you thought it was terrible. You wouldn’t have closed it for another two months. By my doing it early, in fact, Dr. Fauci said, “President Trump saved thousands of lives.” Many of your Democrat Governors said, “President Trump did a phenomenal job.” We worked with the Governor. Oh really, go take a look. The Governors said I did a phenomenal job. Most of them said that. In fact, people that would not be necessarily on my side said that, “President Trump did a phenomenal job.” We did. We got the gowns. We got the masks. We made the ventilators. You wouldn’t have made ventilators. And now we’re weeks away from a vaccine. We’re doing therapeutics already. Fewer people are dying when they get sick. Far fewer people are dying. We’ve done a great job.",think close country think terrible close month early fact dr fauci say president trump save thousand life democrat governor say president trump phenomenal job work governor look governor say phenomenal job say fact people necessarily say president trump phenomenal job get gown get mask ventilator ventilator week away vaccine therapeutic few people die sick far few people die great job
169,Trump,"The only thing I haven’t done a good job, and that’s because of the fake news, no matter what you say to them, they give you a bad press on it. It’s just fake news. They give you good press, they give me bad press because that’s the way it is, unfortunately. But let me just say something. I don’t care. I’ve gotten used to it. But I’ll tell you, Joe, you could never have done the job that we did. You don’t have it in your blood. You could’ve never done that, Joe.",thing good job fake news matter bad press fake news good press bad press way unfortunately let care get tell joe job blood joe
170,Biden,I know how to do the job. I know how to get the job done.,know job know job
171,Trump,"Well, you didn’t do very well in Swine Flu. H1-N1, you were a disaster. Your own Chief of Staff said you were a disaster.",swine flu h n disaster chief staff say disaster
172,Biden,"14,000 people died, not 200,000.",people die
173,Trump,"A far less lethal disease, by the way.",far lethal disease way
174,Wallace,"Sir, you made a point. Let him answer it.",sir point let answer
175,Biden,"And there was no one … We didn’t shut down the economy. This is his economy he shut down. The reason it’s shut down is because, look, you folks at home. How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID? How many of you are in a situation where you lost your mom or dad and you couldn’t even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?",shut economy economy shut reason shut look folk home get morning chair kitchen table die covid situation lose mom dad speak nurse hold phone fact goodbye
176,Trump,"We would have lost far more people, far more people. You would have been months late. You’re months behind me, Joe.",lose far people far people month late month joe
177,Biden,"His own CDC Director says we could lose as many as another 200,000 people between now and the end of the year. And he said, if we just wear a mask, we can save half those numbers. Just a mask. And by the way, in terms of the whole notion of a vaccine, we’re for a vaccine, but I don’t trust him at all. Nor do you. I know you don’t. What we trust is a scientist.",cdc director say lose people end year say wear mask save half number mask way term notion vaccine vaccine trust know trust scientist
178,Trump,"You don’t trust Johnson & Johnson, Pfizer?",trust johnson johnson pfizer
179,Chris Wallace:,"Okay, gentlemen, gentlemen. Let me move on to questions about the future because you both have touched on two of the questions I’m going to ask. Focusing on the future first, President Trump, you have repeatedly either contradicted or been at odds with some of your governments own top scientists. The week before last, the Head of the Centers for Disease Control, Dr. Redfield said it would be summer before the vaccine would become generally available to the public. You said that he was confused and mistaken. Those were your two words. But Dr. Slaoui, the head of your Operation Warp Speed, has said exactly the same thing. Are they both wrong?",okay gentleman gentleman let question future touch question go ask focus future president trump repeatedly contradict odd government scientist week head center disease control dr redfield say summer vaccine generally available public say confused mistaken word dr slaoui head operation warp speed say exactly thing wrong
180,Trump,"Well, I’ve spoken to the companies and we can have it a lot sooner. It’s a very political thing because people like this would rather make it political than save lives.",speak company lot soon political thing people like political save life
181,Biden,God.,god
182,Trump,"It is a very political thing. I’ve spoken to Pfizer, I’ve spoken to all of the people that you have to speak to, Moderna, Johnson & Johnson, and others. They can go faster than that by a lot. It’s become very political because the left… Or I don’t know if I call them left, I don’t know what I call them.",political thing speak pfizer speak people speak moderna johnson johnson fast lot political left know leave know
183,Wallace,"So you’re suggesting that the head of your Operation Warp Speed, Dr. Slaoui-",suggest head operation warp speed dr slaoui
184,Trump,"I disagree with him. No, I disagree with both of them. And he didn’t say that. He said it could be there, but it could also be much sooner. I had him in my office two days ago.",disagree disagree say soon office day ago
185,Wallace,"He talked about the summer, sir, before it’s generally available, just like Dr. Redfield.",talk summer sir generally available like dr redfield
186,Trump,Because he said it’s a possibility that we’ll have the answer before November 1st. It could also be after that.,say possibility answer november st
187,Wallace,"I’m talking about when it’s generally available, not-",talk generally available not
188,Trump,"Well, we’re going to deliver it right away. We have the military all set up. Logistically, they’re all set up. We have our military that delivers soldiers and they can do 200,000 a day. They’re going to be delivering-",go deliver right away military set logistically set military deliver soldier day go delivering
189,Biden,This is the same man who told you-,man tell you
190,Trump,It’s all set up.,set
191,Biden,"… by Easter, this would be gone away. By the warm weather, it’d be gone. Miraculous, like a miracle. And by the way, maybe you could inject some bleach in your arm, and that would take care of it. This is the same man.",easter go away warm weather go miraculous like miracle way maybe inject bleach arm care man
192,Trump,"That was said sarcastically, and you know that. That was said sarcastically.",say sarcastically know say sarcastically
193,Biden,"So here’s the deal. This man is talking about a vaccine. Every serious company is talking about maybe having a vaccine done by the end of the year, but the distribution of that vaccine will not occur until sometime beginning of the middle of next year to get it out, if we get the vaccine. And pray God we will. Pray God we will.",deal man talk vaccine company talk maybe have vaccine end year distribution vaccine occur beginning middle year vaccine pray god pray god
194,Wallace,"Mr. Vice President, I want to pick up-",mr vice president want pick up
195,Trump,You’ll have the vaccine sooner than that.,vaccine soon
196,Wallace,"I want to pick up on this question though. You say the public can trust the scientists, but they can’t trust President Trump. In fact, you said that again tonight. Your running mate, Senator Harris, goes further, saying that public health experts quote, “Will be muzzled, will be suppressed.” Given the fact that polls already show that people are concerned about the vaccine and are reluctant to take it, are you and your running mate, Senator Harris, contributing to that fear?",want pick question public trust scientist trust president trump fact say tonight running mate senator harris go say public health expert quote muzzle suppress give fact poll people concerned vaccine reluctant running mate senator harris contribute fear
197,Biden,No more than the question you just asked him. You pointed out he puts pressure and disagrees with his own scientists.,question ask point put pressure disagree scientist
198,Wallace,But you’re saying you can’t-,say can t
199,Biden,Everybody knows-,everybody knows
200,Wallace,Or Senator Harris is saying you can’t trust the scientist.,senator harris say trust scientist
201,Biden,"Well, no, no. You can trust the scientist. She didn’t say that. You can trust the-",trust scientist trust the
