,speaker,sentence,gold
95,Biden,And the fact is this man doesn't know what he's talking about.,0
96,Biden,.,0
97,Biden,Sure.,0
98,Biden,"Whatever position I take on that, that'll become the issue.",0
101,Biden,You're voting now.,0
104,Biden,"Make sure you, in fact, let people know, your Senators.",0
105,Biden,I'm not going to answer the question.,0
106,Biden,"Will you shut up, man?",0
107,Biden,This is so un-Presidential.,0
108,Biden,"That was really a productive segment, wasn't it?",0
109,Biden,"Keep yapping, man.",0
110,Biden,They sure do.,0
111,Biden,Good luck.,0
112,Biden,"200,000 dead.",0
113,Biden,"As you said, over seven million infected in the United States.",0
119,Biden,That's why it is.,0
121,Biden,He hasn't laid out anything.,0
123,Biden,He knew it was a deadly disease.,0
124,Biden,What did he do?,0
125,Biden,He's on tape as acknowledging he knew it.,0
127,Biden,You don't panic.,0
128,Biden,He panicked.,0
129,Biden,"In addition to that, what did he do?",0
130,Biden,He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was.,0
131,Biden,He did not even ask Xi to do that.,0
132,Biden,He told us what a great job Xi was doing.,0
133,Biden,He said we owe him debt of gratitude for being so transparent with us.,0
134,Biden,And what did he do then?,0
135,Biden,He then did nothing.,0
136,Biden,He waited and waited and waited.,0
137,Biden,He still doesn't have a plan.,0
144,Biden,I know how to do the job.,0
145,Biden,I know how to get the job done.,0
146,Biden,"14,000 people died, not 200,000.",0
149,Biden,"The reason it's shut down is because, look, you folks at home.",0
152,Biden,"His own CDC Director says we could lose as many as another 200,000 people between now and the end of the year.",0
153,Biden,"And he said, if we just wear a mask, we can save half those numbers.",0
154,Biden,Just a mask.,0
156,Biden,Nor do you.,0
157,Biden,I know you don't.,0
159,Biden,God.,0
160,Biden,This is the same man who told you-,0
161,Biden,"... by Easter, this would be gone away.",0
162,Biden,"By the warm weather, it'd be gone.",0
163,Biden,"Miraculous, like a miracle.",0
164,Biden,"And by the way, maybe you could inject some bleach in your arm, and that would take care of it.",0
165,Biden,This is the same man.,0
166,Biden,So here's the deal.,0
169,Biden,And pray God we will.,0
170,Biden,Pray God we will.,0
171,Biden,No more than the question you just asked him.,0
172,Biden,You pointed out he puts pressure and disagrees with his own scientists.,0
173,Biden,Everybody knows-,0
174,Biden,"Well, no, no.",0
175,Biden,You can trust the scientist.,0
176,Biden,She didn't say that.,0
177,Biden,You can trust the-,0
178,Biden,Yes.,0
179,Biden,"Well, that's what he's going to try to do, but there's thousands of scientists out there, like here at this great hospital that don't work for him.",0
180,Biden,Their job doesn't depend on him.,0
181,Biden,They're the people... And by the way-,0
182,Biden,By the way-,0
183,Biden,Do you believe for a moment what he's telling you in light of all the lies he's told you about the whole issue relating to COVID?,0
184,Biden,"He still hasn't even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn't even tell you.",0
185,Biden,He's on record as saying it.,0
186,Biden,He panicked or he just looked at the stock market.,0
187,Biden,One of the two.,0
188,Biden,Because guess what?,0
190,Biden,"Oh, give me a break.",0
191,Biden,"Well, let's have this debate-",0
192,Biden,Because he doesn't have a plan.,0
195,Biden,You have to provide them classic-,0
196,Biden,Will he just shush for a minute?,0
197,Biden,"Nancy Pelosi and Schumer, they have a plan.",0
198,Biden,He won't even meet with them.,0
199,Biden,The Republicans won't meet in the Senate.,0
200,Biden,He sits in his golf course.,0
201,Biden,"Well, I mean, literally, think about it.",0
202,Biden,Think about it.,0
203,Biden,You just admitted you'd shut it down.,0
204,Biden,I got to respond to that.,0
205,Biden,I got to respond to that.,0
206,Biden,Just like your rally.,0
208,Biden,"We provided money, the-",0
211,Biden,It matters.,0
212,Biden,It matters.,0
213,Biden,No serious person has said the opposite.,0
214,Biden,No serious person.,0
215,Biden,He did not say the opposite.,0
216,Biden,"By the way, did you see one of the last big rallies he had?",0
217,Biden,"A reporter came up to him to ask him a question, he said, No, no, no.",0
218,Biden,"Stand back, put on your mask, put on a mask.",0
219,Biden,Have you been tested?,0
220,Biden,I'm way far away from those other people.,0
221,Biden,"That's what he said, I'm going to be okay.",0
222,Biden,He's not worried about you.,0
223,Biden,He's not worried about the people out there  .,0
224,Biden,No negative effect.,0
225,Biden,Come on.,0
226,Biden,"Yes, I would.",0
227,Biden,"He's been totally irresponsible the way in which he has handled the social distancing and people wearing masks, basically encouraged them not to.",0
228,Biden,He's a fool on this.,0
232,Biden,This guy paid a total of $750 in taxes.,0
233,Biden,Do I get my time back?,0
235,Biden,Fewer jobs than when he became president.,0
236,Biden,First one in American history.,0
241,Biden,Why is he want to open it up?,0
244,Biden,Schools.,0
248,Biden,Not a national emergency.,0
250,Biden,Nothing.,0
251,Biden,They're closing.,0
255,Biden,People want to be safe.,0
256,Biden,Show us your tax returns.,0
257,Biden,Show us your tax returns.,0
258,Biden,Release your tax return.,0
259,Biden,"Yeah, I do want to respond.",0
260,Biden,"Look, the tax code that put him in a position that he pays less tax than on the money a school teacher makes is because of him...",0
261,Biden,He says he's smart because he can take advantage of the tax code.,0
262,Biden,And he does take advantage of the tax code.,0
264,Biden,And I'm going to eliminate those tax cuts.,0
267,Biden,Because you weren't president-,0
268,Biden,Because you weren't president and screwing things up.,0
269,Biden,You're the worst president America has ever had.,0
270,Biden,Come on.,0
279,Biden,"Because you in fact passed that, that was your tax proposal.",0
280,Biden,"Yeah, you got it done-",0
281,Biden,The economy-,0
282,Biden,Let me finish.,0
283,Biden,Not lower tax for the American people.,0
284,Biden,Look-,0
289,Biden,He blew it.,0
291,Biden,Manufacturing went in a hole-,0
292,Biden,... number one.,0
293,Biden,Number two-,0
294,Biden,This guy-,0
298,Biden,He blew it.,0
299,Biden,They're gone.,0
300,Biden,He blew it.,0
302,Biden,That is not true.,0
303,Biden,And so you take a look at what he's actually done.,0
304,Biden,He's done very little.,0
305,Biden,His trade deals are the same way.,0
306,Biden,He talks about these great trade deals.,0
307,Biden,He talks about the art of the deal.,0
308,Biden,China's perfected the art of the steel.,0
309,Biden,We have a higher deficit with China now than we did before.,0
310,Biden,We have the highest trade deficit-,0
311,Biden,... with Mexico.,0
312,Biden,That is not true.,0
313,Biden,None of that is true.,0
314,Biden,None of that is true.,0
315,Biden,Is totally-,0
316,Biden,Totally discredited.,0
317,Biden,Totally discredited.,0
318,Biden,And by the way-,0
319,Biden,Mr. Vice-,0
320,Biden,That is not true.,0
321,Biden,It is not a fact.,0
322,Biden,It's been totally discredited.,0
323,Biden,My son did nothing wrong at Barisma-,0
324,Biden,"He doesn't want to let me answer, because he knows I have the truth.",0
325,Biden,His position has been totally thoroughly discredited-,0
326,Biden,And you can-,0
327,Biden,by everybody.,0
328,Biden,"Well, by the media, by our allies.",0
329,Biden,By the World Bank-,0
330,Biden,"By everyone, has discredited.",0
331,Biden,And matter of fact   Matter of fact-,0
332,Biden,Even the people who testified under oath-,0
333,Biden,Even the people under-,0
334,Biden,... testified under oath in his administration said I did my job and I did it very well.,0
335,Biden,I did it honorably.,0
336,Biden,"Well, I'll give you the list of the people who-",0
337,Biden,"I'm sure that you've already fired most of them, because they did a good job.",0
338,Biden,"Well, here's the-",0
339,Biden,"Well, it's hard to get any word in with this clown.",0
340,Biden,"Excuse me, this person.",0
341,Biden,"No, no.",0
342,Biden,Mr. President-,0
343,Biden,That is simply not true.,0
344,Biden,"Look, here's the deal.",0
345,Biden,We want to talk about families and ethics.,0
346,Biden,I don't want to do that.,0
347,Biden,"I mean, his family, we could talk about all night.",0
348,Biden,His family's already-,0
349,Biden,And that's such a-,0
352,Biden,That's not true.,0
353,Biden,It doesn't want to talk about what you need.,0
356,Biden,Try to be honest.,0
357,Biden,That is absolutely not true.,0
358,Biden,That's a good point.,0
367,Biden,No president's ever said anything like that.,0
368,Biden,.,0
369,Biden,Now-,0
371,Biden,What did he do?,0
373,Biden,And then what happened after that?,0
379,Biden,One in 500 African Americans.,0
380,Biden,This man is as a savior of African-Americans?,0
381,Biden,This man cares at all?,0
382,Biden,This man's done virtually nothing.,0
383,Biden,"Look, the fact is that you have to look at what he talks about.",0
384,Biden,You have to look at what he did.,0
386,Biden,I've never said-,0
387,Biden,"Yes, there is.",0
393,Biden,They have to be held accountable.,0
395,Biden,We're going to work this out.,0
397,Biden,These cops aren't happy to see what happened to George Floyd.,0
398,Biden,These cops aren't happy to see what happened to Breonna Taylor.,0
401,Biden,That is not peaceful protest.,0
402,Biden,Nobody's doing that.,0
403,Biden,He's the racist.,0
404,Biden,Here's the deal.,0
405,Biden,I know a lot more about this-  .,0
411,Biden,It's a little bit like how this guy and his friends look down on so many people.,0
412,Biden,"They look down their nose on people like Irish Catholics, like me, who grow up in Scranton.",0
413,Biden,They look down on people who don't have money.,0
414,Biden,They look down on people who are of a different faith.,0
415,Biden,They looked down on people who are a different color.,0
420,Biden,Oh my Lord.,0
421,Biden,This is ridiculous.,0
422,Biden,Absolutely ridiculous.,0
423,Biden,Violent crime-,0
424,Biden,I'm in favor of law.,0
425,Biden,You-  .,0
429,Biden,He wouldn't know a suburb unless you took a wrong turn.,0
430,Biden,I was raised in the suburbs.,0
431,Biden,This is not 1950.,0
432,Biden,All these dog whistles and racism don't work anymore.,0
435,Biden,They're dying in the suburbs.,0
444,Biden,It went down.,0
445,Biden,And so we have to be...,0
446,Biden,That is not true.,0
447,Biden,That's not true.,0
448,Biden,We don't have time to do anything.,0
449,Biden,I don't hold public office.,0
450,Biden,Now I am a former vice president.,0
451,Biden,I've made it clear.,0
454,Biden,They can in fact take care of it if he just stay out of the way.,0
455,Biden,"And by the way his own former spokesperson said, Riots and chaos and violence help he cause.",0
456,Biden,That's what this is all about.,0
457,Biden,I think Kellyanne Conway.,0
458,Biden,She said that.,0
459,Biden,"Here's the point, the point is that that's why he keeps trying to rile everything up.",0
460,Biden,"He doesn't want to calm things down instead of going in and talking to people and saying, Let's get everybody together.",0
461,Biden,Figure out how to deal with this.,0
462,Biden,What's he do?,0
463,Biden,He just pours gasoline in the fire constantly and every single solitary time.,0
464,Biden,"He's own FBI Director said unlike white supremacist, Antifa is an idea not an organization-",0
465,Biden,... not a militia.,0
466,Biden,That's what his FBI Director said.,0
467,Biden,"Every body in your administration tells you the true, it's a bad idea.",0
468,Biden,You have no idea about anything.,0
470,Biden,"When I was vice president, we inherited a recession.",0
471,Biden,I was asked to fix it.,0
472,Biden,I did.,0
473,Biden,We left him a booming economy and he caused the recession.,0
476,Biden,He still refuses to even say anything to Putin about the bounty on the heads of American soldiers.,0
477,Biden,"By the way, my son...",0
478,Biden,He never keeps his word.,0
479,Biden,Can you get back 30 seconds?,0
485,Biden,He's President United States.,0
486,Biden,It's on his watch.,0
488,Biden,We can't be this way.,0
490,Biden,My son was in Iraq.,0
491,Biden,He spent a year there.,0
492,Biden,He got the Brown Star.,0
493,Biden,He got the Conspicuous Service Medal.,0
494,Biden,He was not a loser.,0
496,Biden,And I resent-,0
497,Biden,"I'm talking about my son, Beau Biden, you're talking about Hunter?",0
498,Biden,That's not true he was not dishonorably discharged.,0
499,Biden,None of that is true.,0
500,Biden,That is not true.,0
501,Biden,My son like a lot of people at home had a drug problem.,0
502,Biden,He's overtaking it.,0
503,Biden,He's fixed it.,0
504,Biden,He's worked on it.,0
505,Biden,"And I'm proud of him, I'm proud of my son.",0
506,Biden,He wasn't given tens of millions of dollars.,0
507,Biden,It was all discredited.,0
508,Biden,That is not true.,0
509,Biden,That report is totally discredited.,0
510,Biden,Mitt Romney on that committee said it wasn't worth taxpayer's money.,0
511,Biden,That report was written for political reason.,0
512,Biden,So would I.,0
513,Biden,Why have you relaxed fuel economy standards that are going to create more pollution from cars and trucks?,0
514,Biden,"He's absolutely wrong, number one.",0
522,Biden,There's so many things that we can do...,0
530,Biden,It's all falling apart.,0
537,Biden,"Well, he hasn't drawn a line.",0
538,Biden,He wants to make sure that methane's not a problem.,0
539,Biden,You can now emit more methane without it being a problem.,0
540,Biden,Methane.,0
541,Biden,This is a guy who says that you don't have to have mileage standards for automobiles that exist now.,0
542,Biden,"This is the guy who says that, the fact that-",0
543,Biden,It's all true.,0
544,Biden,And here's the deal-,0
545,Biden,I'm talking about the Biden plan  -,0
546,Biden,That is not-,0
547,Biden,Not true-,0
548,Biden,Not true.,0
549,Biden,Not true.,0
550,Biden,Simply... Look-,0
551,Biden,That is simply not the case-,0
552,Biden,"What it's going to do, it's going to create thousands and millions of jobs.",0
553,Biden,Good paying jobs  .,0
554,Biden,He doesn't know how to do that-,0
558,Biden,"He said, maybe we should drop a nuclear weapon on them, and they may-",0
559,Biden,"Yeah, he did say that-",0
560,Biden,And here's the deal-,0
563,Biden,We're in real trouble.,0
565,Biden,They didn't happen before.,0
570,Biden,That is not my plan  .,0
572,Biden,-,0
573,Biden,I did not say that-,0
574,Biden,Play it.,0
575,Biden,Play it-,0
576,Biden,"The final question is, I can't remember which of all his rantings  .",0
577,Biden,The economy-,0
580,Biden,Pardon me?,0
582,Biden,I support  -,0
588,Biden,They said that.,0
590,Biden,"He sits behind the Resolute Desk and sends his ballot to Florida, number one.",0
607,Biden,He's going to go.,0
609,Biden,It won't happen.,0
613,Biden,There is no  ...,0
614,Biden,There is no evidence of that-,0
615,Biden,There is no evidence of that-,0
619,Biden,It's sent to you.,0
623,Biden,He's just afraid of counting the votes-,0
629,Biden,That is totally legitimate.,0
631,Biden,Yes.,0
632,Biden,And here's the deal.,0
638,Biden,And that's what's going to happen.,0
639,Biden,"Why is it, for them, somehow not fraudulent.",0
640,Biden,It's the same process.,0
641,Biden,It's honest.,0
643,Biden,He has no idea what he's talking about.,0
644,Biden,Here's the deal.,0
645,Biden,"The fact is, I will accept it, and he will too.",0
646,Biden,You know why?,0
648,Biden,That'll be the end of it.,0
649,Biden,"And if it's me, in fact, fine.",0
650,Biden,"If it's not me, I'll support the outcome.",0
653,Biden,And this guy-,0
7,Biden,"Now, what's at stake here is the President's made it clear, he wants to get rid of the Affordable Care Act.",0
10,Biden,"And the justice, I'm not opposed to the justice, she seems like a very fine person.",0
11,Biden,"But she's written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional.",0
37,Biden,The deal is that it's going to wipe out pre-existing conditions.,0
44,Biden,The point is that the President also is opposed to Roe V. Wade.,0
45,Biden,"That's on the ballot as well and the court, in the court, and so that's also at stake right now.",0
79,Biden,"Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession.",0
87,Biden,He has no plan for healthcare.,0
90,Biden,He hasn't lowered drug costs for anybody.,0
91,Biden,He's been promising a healthcare plan since he got elected.,0
93,Biden,He does not have a plan.,0
117,Biden,"When he was presented with that number, he said, It is what it is.",0
118,Biden,"Well, it is what it is because you are who you are.",0
120,Biden,The President has no plan.,0
122,Biden,He knew all the way back in February how serious this crisis was.,0
126,Biden,He said he didn't tell us or give people a warning of it because he didn't want to panic the American people.,0
143,Biden,You should get out of your bunker and get out of the sand trap in your golf course and go in the Oval Office and bring together the Democrats and Republicans and fund what needs to be done now to save lives.,0
147,Biden,And there was no one ... We didn't shut down the economy.,0
148,Biden,This is his economy he shut down.,0
167,Biden,This man is talking about a vaccine.,0
229,Biden,The difference is millionaires and billionaires like him in the middle of the COVID crisis have done very well.,0
230,Biden,"Billionaires have made another $300 billion because of his profligate tax proposal, and he only focused on the market.",0
286,Biden,I was asked to bring it back.,0
288,Biden,"We handed him a booming economy, he blew it.",0
355,Biden,That's what we're talking about here.,0
363,Biden,"But we've never accomplished it, but we've never walked away from it like he has done.",0
366,Biden,"He said, There were very fine people on both sides.",0
399,Biden,"Most don't like it, but we have to have a system where people are held accountable when... And by the way, violence in response is never appropriate, never appropriate.",0
408,Biden,It's important people know.,0
453,Biden,It should be prosecuted and anyone who committed it should be prosecuted.,0
475,Biden,He's Putin's puppy.,0
483,Biden,In terms of being more violent.,0
523,Biden,Gas and oil because the heat will not be going out.,0
524,Biden,There's so many things that we can do now to create thousands and thousands of jobs.,0
529,Biden,"I will join the Paris Accord because with us out of it, look what's happening.",0
557,Biden,"Look how much we're paying now to deal with the hurricanes, deal with... By the way, he has an answer for hurricanes.",0
596,Biden,"Vote, vote, vote.",0
601,Biden,And in terms of whether or not...,0
621,Biden,What they're saying is that it has to be a postmark by election day.,0
622,Biden,"If it doesn't get in until the seventh, eighth, ninth, it still should be counted.",0
624,Biden,"I am concerned that any court would settle this, because here's the deal.",0
626,Biden,"If you didn't know, you have someone say that, this is me.",0
651,Biden,"And I'll be a president, not just for the Democrats.",0
103,Biden,Vote now.,0
150,Biden,How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID?,0
151,Biden,"How many of you are in a situation where you lost your mom or dad and you couldn't even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?",0
231,Biden,"But you folks at home, you folks living in Scranton and Claymont and all the small towns and working class towns in America, how well are you doing?",0
234,Biden,"The fact is that he has in fact, worked on this in a way that he's going to be the first president of the United States to leave office, having fewer jobs in his administration than when he became president.",0
243,Biden,And he has no intention of doing anything about making it better for you all at home in terms of your health and your safety.,0
247,Biden,"They were going to give, his administration going to give the teachers and school students masks, and then they decided no, couldn't do that because it's not a national emergency.",0
249,Biden,They've done nothing to help small businesses.,0
252,Biden,One in six is now gone.,0
278,Biden,"You have 91 companies federal, I mean, the fortune 500, who don't pay a single penny in tax making billions of dollars.",0
290,Biden,"Yeah, because what he did, even before COVID, manufacturing went in the hole.",0
297,Biden,He brought them back right here in the state of Ohio and Michigan.,0
301,Biden,"And in fact, they're gone-",0
365,Biden,A young woman got killed and they asked the president what he thought.,0
370,Biden,"... second point I'd make to you, is that when Floyd was killed, when Mr. Floyd was killed, there was a peaceful protest in front of the White House.",0
372,Biden,"He came out of his bunker, had the military use tear gas on them so he could walk across to a church and hold up a Bible.",0
374,Biden,The Bishop of that very church said that it was a disgrace.,0
375,Biden,"The general who was with him said all he ever wants to do is divide people, not unite people at all.",0
385,Biden,And what he did has been disastrous for the African-American community.,0
428,Biden,It's gone up on his watch.,0
436,Biden,"His failure to deal with the environment, they're being flooded, they're being burned out because his refusal to do anything.",0
531,Biden,And talk about someone who has no relationship with foreign policy.,0
610,Biden,"It won't happen, so vote.",0
612,Biden,"Is it going to change, or are you going to get four more years of these lies?",0
2,Biden,The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States.,1
3,Biden,They're not going to get that chance now because we're in the middle of an election already.,1
5,Biden,Tens of thousands of people already voted and so the thing that should happen is we should wait.,1
6,Biden,We should wait and see what the outcome of this election is because that's the only way the American people get to express their view is by who they elect as President and who they elect as Vice President.,1
9,Biden,"He's in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court.",1
13,Biden,Women's rights are fundamentally changed.,1
14,Biden,"Once again, a woman could pay more money because she has a pre-existing condition of pregnancy.",1
15,Biden,They're able to charge women more for the same exact procedure a man gets.,1
16,Biden,"And that ended when we, in fact, passed the Affordable Care Act, and there's a hundred million people who have pre-existing conditions and they'll be taken away as well.",1
19,Biden,"If he wins the election and the Senate is Republican, then he goes forward.",1
20,Biden,"If not, we should wait until February.",1
25,Biden,What I proposed is that we expand Obamacare and we increase it.,1
27,Biden,"And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still.",1
34,Biden,I am the Democratic Party right now.,1
35,Biden,"The platform of the Democratic Party is what I, in fact, approved of, what I approved of.",1
38,Biden,"And, by the way, the 200,000 people that have died on his watch, how many of those have survived?",1
39,Biden,"Well, there's seven million people that contracted COVID.",1
40,Biden,What does it mean for them going forward if you strike down the Affordable Care Act?,1
55,Biden,"It's only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid.",1
56,Biden,Anyone who qualifies for Medicaid would automatically be enrolled in the public option.,1
57,Biden,The vast majority of the American people would still not be in that option.,1
81,Biden,"Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away.",1
99,Biden,The issue is the American people should speak.,1
100,Biden,You should go out and vote.,1
102,Biden,Vote and let your Senators know strongly how you feel.,1
114,Biden,"We, in fact, have 4% of the world's population, 20% of the deaths.",1
115,Biden,"40,000 people a day are contracting COVID.",1
116,Biden,"In addition to that, about between 750 and 1000 people a day are dying.",1
138,Biden,"I laid out back in March, exactly what we should be doing.",1
139,Biden,"And I laid out again in July, what we should be doing.",1
140,Biden,We should be providing all the protective gear possible.,1
141,Biden,We should be providing the money the House has passed in order to be able to go out and get people the help they need to keep their businesses open.,1
142,Biden,Open schools cost a lot of money.,1
155,Biden,"And by the way, in terms of the whole notion of a vaccine, we're for a vaccine, but I don't trust him at all.",1
158,Biden,What we trust is a scientist.,1
168,Biden,"Every serious company is talking about maybe having a vaccine done by the end of the year, but the distribution of that vaccine will not occur until sometime beginning of the middle of next year to get it out, if we get the vaccine.",1
189,Biden,"A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-",1
193,Biden,"If I were running it, I'd know what the plan is.",1
194,Biden,"You've got to provide these businesses the ability to have the money to be able to reopen with the PPE, as well as with the sanitation they need.",1
207,Biden,"Look, the way to open businesses is give them the wherewithal to be able open.",1
209,Biden,"Well, masks make a big difference.",1
210,Biden,"His own head of the CDC said if we just wore masks between now, if everybody wore a mask and social distanced between now and January, we'd probably save up to 100,000 lives.",1
237,Biden,"Secondly, the people who have lost their jobs are those people who have been on the front lines.",1
238,Biden,"Those people who have been saving our lives, those people who have been out there dying.",1
239,Biden,People who've been putting themselves in the way to make sure that we could all try to make it.,1
240,Biden,"And the idea that he is insisting that we go forward and open when you have almost half the states in America with a significant increase in COVID deaths and COVID cases in the United States of America, and he wants to open it up more.",1
242,Biden,Why does he take care of the... You can't fix the economy until you fix the COVID crisis.,1
245,Biden,Why aren't schools open?,1
246,Biden,Because it costs a lot of money to open them safely.,1
253,Biden,He ought to get on the job and take care of the needs of the American people so we can open safely.,1
254,Biden,People want to be safe.,1
263,Biden,That's why I'm going to eliminate the Trump tax cuts.,1
265,Biden,And make sure that we invest in the people who in fact need the help.,1
266,Biden,People out there need help.,1
271,Biden,"Well, just take a look at what is the analysis done by Wall Street firms, points out that my economic plan would create 7 million more jobs than his in four years, number one.",1
272,Biden,"And number two, it would create an additional $1 trillion in economic growth, because it would be about buying American.",1
273,Biden,"The federal government spends $600 billion a year on everything from ships, to steel, to buildings and the like.",1
274,Biden,"And under my proposal, we're going to make sure that every penny of that has to be made by a company-",1
275,Biden,"By the way, I'm going to eliminate a significant number of the taxes.",1
276,Biden,I'm going to make the corporate tax 28%.,1
277,Biden,It shouldn't be 21%.,1
285,Biden,"... we inherited the worst recession, short of a depression in American history.",1
287,Biden,We were able to have an economic recovery that created the jobs you're talking about.,1
295,Biden,I'm the guy that brought back the automobile industry.,1
296,Biden,I was asked to bring back Chrysler and General Motors.,1
350,Biden,This is not about my family or his family.,1
351,Biden,"It's about your family, the American people.",1
354,Biden,"You, the American people, it's about you.",1
359,Biden,It's about equity and equality.,1
360,Biden,It's about decency.,1
361,Biden,It's about the constitution.,1
362,Biden,"And we have never walked away from trying to require equity for everyone, equality for the whole of America.",1
364,Biden,"It is true, the reason I got in the race is when those people... Close your eyes, remember what those people look like coming out of the fields, carrying torches, their veins bulging, just spewing anti-Semitic bile and accompanied by the Ku Klux Klan.",1
376,Biden,"This is a president who has used everything as a dog whistle, to try to generate racists hatred, racist division.",1
377,Biden,"This is a man who, in fact, you talk about helping African-Americans, one in 1000 African Americans has been killed because of the coronavirus.",1
378,Biden,"And if he doesn't do something quickly, by the end of the year, one in 500 will have been killed.",1
388,Biden,"There's systemic injustice in this country, in education and work and in law enforcement and the way in which it's enforced.",1
389,Biden,"But look, the vast majority of police officers are good, decent, honorable men and women.",1
390,Biden,"They risk their lives every day to take care of us, but there are some bad apples.",1
391,Biden,"And when they occur, when they find them, they have to be sorted out.",1
392,Biden,They have to be held accountable.,1
394,Biden,"And what I'm going to do as President of the United States is call together an entire group of people at the White House, everything from the civil rights groups, to the police officers, to the police chiefs, and we're going to work this out.",1
396,Biden,"So we changed the way in which we have more transparency, in when these things happen.",1
400,Biden,"Peaceful protest is, violence is never appropriate.",1
406,Biden,The fact is that there is racial insensitivity.,1
407,Biden,"People have to be made aware of what other people feel like, what insults them, what is demeaning to them.",1
409,Biden,"Many people don't want to hurt other people's feelings, but it makes a big difference.",1
410,Biden,It makes a gigantic difference in the way a child is able to grow up and have a sense of self-esteem.,1
416,Biden,"In fact, we're all Americans.",1
417,Biden,The only way we're going to bring this country together is bring everybody together.,1
418,Biden,"There's nothing we cannot do, if we do it together.",1
419,Biden,We can take this on and we can defeat racism in American.,1
426,Biden,"Law and order with justice, where people get treated fairly.",1
427,Biden,"And the fact of the matter is, violent crime went down 17%, 15% in our administration.",1
433,Biden,Suburbs are by and large integrated.,1
434,Biden,"There's many people today driving their kids to soccer practice and/or black and white and Hispanic in the same car as there have been any time in the past, what really is a threat to the suburbs and their safety is his failure to deal with COVID.",1
437,Biden,That's why the suburbs are in trouble.,1
438,Biden,"Look, what I support are the police having the opportunity to deal with the problems they face and I'm totally opposed to defunding the police offices.",1
439,Biden,"As a matter of fact police, local police, the only one defunding in his budget calls for a $400 million cut in local law enforcement assistance.",1
440,Biden,They need more assistance.,1
441,Biden,They need when they show up for a 9-11 call to have someone with them as a psychologist or psychiatrist to keep them from having to use force and be able to talk people down.,1
